,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement
0,auto,few,small,1985,17.0,17.0,2.296
1,auto,few,small,1985,17.0,17.0,2.296
2,lock-up,medium,small,1985,21.0,27.0,2.4436
3,lock-up,medium,small,1985,18.0,24.0,2.6896
4,manual,medium,small,1985,18.0,23.0,2.6896
5,lock-up,medium,small,1985,15.0,20.0,3.4276
6,manual,medium,small,1985,15.0,20.0,3.4276
7,lock-up,medium,small,1985,15.0,20.0,3.4276
8,manual,medium,small,1985,14.0,19.0,3.4276
9,lock-up,medium,small,1985,21.0,27.0,2.4436
10,lock-up,medium,small,1985,18.0,24.0,2.6896
11,manual,medium,small,1985,18.0,23.0,2.6896
12,lock-up,medium,small,1985,15.0,20.0,3.4276
13,manual,medium,small,1985,15.0,20.0,3.4276
14,lock-up,medium,small,1985,15.0,20.0,3.4276
15,manual,medium,small,1985,14.0,19.0,3.4276
16,lock-up,medium,small,1985,17.0,24.0,2.9684
17,lock-up,medium,small,1985,15.0,21.0,5.0348
18,lock-up,few,small,1985,17.0,23.0,1.804
19,lock-up,few,small,1985,21.0,29.0,1.804
20,manual,few,small,1985,19.0,27.0,1.804
21,manual,few,small,1985,23.0,32.0,1.804
22,lock-up,few,small,1985,19.0,26.0,1.9844
23,manual,few,small,1985,22.0,29.0,1.9844
24,lock-up,few,small,1985,21.0,29.0,2.4764
25,manual,few,small,1985,21.0,31.0,2.4764
26,lock-up,medium,small,1985,17.0,24.0,2.8372
27,manual,medium,small,1985,15.0,21.0,2.8372
28,lock-up,few,small,1985,21.0,29.0,2.4764
29,manual,few,small,1985,21.0,31.0,2.4764
30,manual,few,small,1985,23.0,32.0,1.804
31,lock-up,few,small,1985,22.0,27.0,1.9844
32,manual,few,small,1985,23.0,32.0,1.9844
33,lock-up,few,small,1985,21.0,29.0,2.4764
34,manual,few,small,1985,21.0,31.0,2.4764
35,lock-up,medium,small,1985,18.0,25.0,2.8372
36,manual,medium,small,1985,17.0,24.0,2.8372
37,lock-up,medium,small,1985,18.0,24.0,2.8372
38,lock-up,medium,small,1985,15.0,20.0,5.0348
39,lock-up,few,small,1985,21.0,29.0,1.804
40,lock-up,few,small,1985,18.0,23.0,1.804
41,manual,few,small,1985,19.0,24.0,1.804
42,manual,medium,small,1985,16.0,21.0,2.8372
43,lock-up,few,small,1985,21.0,29.0,2.4764
44,manual,few,small,1985,21.0,31.0,2.4764
45,lock-up,medium,small,1985,18.0,24.0,2.9684
46,lock-up,medium,small,1985,15.0,22.0,3.7884
47,lock-up,few,small,1985,19.0,26.0,1.9844
48,manual,few,small,1985,21.0,29.0,1.9844
49,lock-up,medium,small,1985,17.0,24.0,2.8372
50,manual,medium,small,1985,15.0,21.0,2.8372
51,lock-up,few,small,1985,22.0,27.0,1.9844
52,lock-up,medium,small,1985,18.0,24.0,2.8372
53,manual,medium,small,1985,16.0,21.0,2.8372
54,lock-up,medium,small,1985,15.0,20.0,4.0836
55,manual,few,small,1985,21.0,30.0,1.9844
56,manual,few,small,1985,22.0,29.0,1.9844
57,manual,few,small,1985,21.0,29.0,1.9844
58,lock-up,medium,small,1985,16.0,21.0,2.8372
59,manual,medium,small,1985,15.0,21.0,2.8372
60,lock-up,few,small,1985,23.0,29.0,1.5908
61,manual,few,small,1985,26.0,33.0,1.5908
62,lock-up,few,small,1985,19.0,26.0,1.9844
63,lock-up,few,small,1985,22.0,27.0,1.9844
64,manual,few,small,1985,23.0,32.0,1.9844
65,manual,few,small,1985,21.0,30.0,1.9844
66,lock-up,medium,small,1985,17.0,22.0,2.8372
67,manual,medium,small,1985,16.0,21.0,2.8372
68,lock-up,few,small,1985,23.0,29.0,1.5908
69,manual,few,small,1985,26.0,33.0,1.5908
70,auto,few,small,1985,21.0,26.0,2.214
71,manual,few,small,1985,22.0,33.0,2.214
72,manual,few,small,1985,23.0,33.0,2.214
73,manual,few,small,1985,18.0,27.0,2.214
74,manual,few,small,1985,17.0,26.0,2.214
75,manual,few,small,1985,26.0,36.0,1.5908
76,auto,few,small,1985,19.0,24.0,2.214
77,manual,few,small,1985,22.0,31.0,2.214
78,manual,few,small,1985,18.0,26.0,2.214
79,manual,few,small,1985,17.0,26.0,2.214
80,manual,few,small,1985,26.0,36.0,1.5908
81,manual,few,small,1985,26.0,36.0,1.5908
82,manual,few,small,1985,24.0,30.0,1.5908
83,auto,few,small,1985,22.0,27.0,1.6072
84,manual,few,small,1985,23.0,33.0,1.6072
85,manual,few,small,1985,29.0,39.0,1.6072
86,manual,few,small,1985,22.0,32.0,1.6072
87,auto,few,small,1985,21.0,26.0,1.6072
88,manual,few,small,1985,22.0,30.0,1.6072
89,manual,few,small,1985,21.0,31.0,1.6072
90,auto,few,small,1985,23.0,29.0,1.8532
91,manual,few,small,1985,28.0,39.0,1.8532
92,manual,few,small,1985,23.0,33.0,1.8532
93,manual,few,small,1985,31.0,39.0,2.0008
94,manual,few,small,1985,36.0,47.0,2.0008
95,manual,few,small,1985,31.0,39.0,2.0008
96,auto,few,small,1985,22.0,26.0,2.296
97,manual,few,small,1985,19.0,29.0,2.296
98,manual,few,small,1985,22.0,31.0,2.296
99,auto,few,small,1985,16.0,20.0,2.296
100,manual,few,small,1985,17.0,24.0,2.296
101,lock-up,medium,small,1985,17.0,20.0,3.7884
102,lock-up,medium,small,1985,16.0,23.0,3.7884
103,lock-up,medium,small,1985,15.0,22.0,4.9528
104,auto,few,small,1985,22.0,27.0,1.6072
105,manual,few,small,1985,23.0,32.0,1.6072
106,manual,few,small,1985,22.0,32.0,1.6072
107,auto,few,small,1985,21.0,26.0,1.6072
108,manual,few,small,1985,21.0,31.0,1.6072
109,manual,few,small,1985,23.0,31.0,1.6072
110,auto,few,small,1985,23.0,29.0,1.8532
111,manual,few,small,1985,24.0,33.0,1.8532
112,manual,few,small,1985,23.0,33.0,1.8532
113,manual,few,small,1985,31.0,39.0,2.0008
114,manual,few,small,1985,31.0,39.0,2.0008
115,auto,few,small,1985,21.0,26.0,2.296
116,manual,few,small,1985,21.0,30.0,2.296
117,manual,few,small,1985,19.0,27.0,2.296
118,auto,few,small,1985,16.0,20.0,2.296
119,manual,few,small,1985,17.0,24.0,2.296
120,lock-up,medium,small,1985,16.0,20.0,3.7884
121,lock-up,medium,small,1985,17.0,23.0,3.7884
122,lock-up,medium,small,1985,15.0,22.0,4.9528
123,auto,medium,small,1985,13.0,15.0,4.9692
124,auto,medium,small,1985,13.0,15.0,4.9692
125,manual,few,small,1985,23.0,33.0,1.6072
126,manual,few,small,1985,23.0,33.0,1.8532
127,manual,few,small,1985,36.0,47.0,2.0008
128,manual,few,small,1985,31.0,39.0,2.0008
129,manual,few,small,1985,31.0,39.0,2.0008
130,auto,few,small,1985,21.0,26.0,2.296
131,manual,few,small,1985,22.0,31.0,2.296
132,manual,few,small,1985,19.0,29.0,2.296
133,lock-up,medium,small,1985,15.0,22.0,4.9528
134,auto,few,small,1985,22.0,27.0,1.6072
135,manual,few,small,1985,22.0,32.0,1.6072
136,auto,few,small,1985,23.0,29.0,1.8532
137,manual,few,small,1985,28.0,39.0,1.8532
138,manual,few,small,1985,29.0,39.0,1.6072
139,auto,few,small,1985,16.0,20.0,2.296
140,manual,few,small,1985,17.0,24.0,2.296
141,lock-up,medium,small,1985,17.0,20.0,3.7884
142,auto,few,small,1985,16.0,20.0,2.296
143,manual,few,small,1985,17.0,24.0,2.296
144,lock-up,medium,small,1985,16.0,20.0,3.7884
145,lock-up,medium,small,1985,15.0,22.0,4.9528
146,auto,few,small,1985,22.0,27.0,1.6072
147,manual,few,small,1985,23.0,32.0,1.6072
148,manual,few,small,1985,22.0,32.0,1.6072
149,auto,few,small,1985,23.0,29.0,1.8532
150,manual,few,small,1985,24.0,33.0,1.8532
151,manual,few,small,1985,23.0,33.0,1.8532
152,manual,few,small,1985,31.0,39.0,2.0008
153,manual,few,small,1985,31.0,39.0,2.0008
154,auto,few,small,1985,21.0,26.0,2.296
155,manual,few,small,1985,21.0,30.0,2.296
156,manual,few,small,1985,19.0,27.0,2.296
157,auto,few,small,1985,21.0,26.0,2.0008
158,manual,few,small,1985,23.0,29.0,2.0008
159,manual,few,small,1985,31.0,38.0,2.0008
160,auto,few,small,1985,21.0,26.0,2.0008
161,manual,few,small,1985,23.0,29.0,2.0008
162,manual,few,small,1985,31.0,38.0,2.0008
163,auto,medium,small,1985,18.0,20.0,3.0012
164,auto,medium,small,1985,19.0,23.0,3.0012
165,auto,medium,small,1985,19.0,23.0,3.0012
166,auto,medium,small,1985,18.0,20.0,3.0012
167,auto,medium,small,1985,15.0,17.0,3.8376
168,auto,medium,small,1985,13.0,15.0,4.9692
169,auto,medium,small,1985,18.0,20.0,3.0012
170,auto,medium,small,1985,18.0,20.0,3.0012
171,auto,medium,small,1985,15.0,17.0,3.8376
172,auto,medium,small,1985,13.0,15.0,4.9692
173,auto,few,small,1985,16.0,20.0,2.296
174,manual,few,small,1985,17.0,22.0,2.296
175,auto,few,small,1985,16.0,20.0,2.296
176,manual,few,small,1985,17.0,22.0,2.296
177,lock-up,few,small,1985,18.0,24.0,2.3452
178,lock-up,few,small,1985,18.0,24.0,2.3452
179,lock-up,few,small,1985,18.0,24.0,2.3452
180,lock-up,medium,small,1985,15.0,20.0,2.9684
181,manual,medium,small,1985,17.0,22.0,2.9684
182,lock-up,few,small,1985,21.0,26.0,1.9680000000000002
183,manual,few,small,1985,23.0,30.0,1.9680000000000002
184,lock-up,medium,small,1985,15.0,20.0,2.9684
185,manual,medium,small,1985,17.0,23.0,2.9684
186,lock-up,few,small,1985,21.0,24.0,1.9680000000000002
187,manual,few,small,1985,23.0,31.0,1.9680000000000002
188,lock-up,few,small,1985,21.0,29.0,2.4764
189,manual,few,small,1985,21.0,31.0,2.4764
190,lock-up,medium,small,1985,18.0,24.0,2.9684
191,lock-up,few,small,1985,21.0,29.0,1.804
192,manual,few,small,1985,23.0,32.0,1.804
193,lock-up,few,small,1985,22.0,27.0,1.9844
194,manual,few,small,1985,23.0,32.0,1.9844
195,lock-up,medium,small,1985,17.0,23.0,2.8372
196,manual,medium,small,1985,16.0,21.0,2.8372
197,lock-up,few,small,1985,21.0,29.0,2.4764
198,manual,few,small,1985,21.0,31.0,2.4764
199,lock-up,medium,small,1985,17.0,24.0,2.9684
200,lock-up,few,small,1985,21.0,29.0,1.804
201,manual,few,small,1985,23.0,32.0,1.804
202,lock-up,few,small,1985,19.0,26.0,1.9844
203,manual,few,small,1985,22.0,29.0,1.9844
204,lock-up,medium,small,1985,17.0,22.0,2.8372
205,manual,medium,small,1985,15.0,21.0,2.8372
206,auto,few,small,1985,18.0,19.0,1.9680000000000002
207,manual,few,small,1985,17.0,22.0,1.9680000000000002
208,manual,few,small,1985,16.0,22.0,2.1484
209,auto,few,small,1985,22.0,23.0,2.4928
210,manual,few,small,1985,24.0,30.0,2.4928
211,manual,few,small,1985,16.0,22.0,2.1484
212,auto,few,small,1985,22.0,23.0,2.4928
213,manual,few,small,1985,24.0,30.0,2.4928
214,manual,few,small,1985,26.0,36.0,1.5908
215,manual,few,small,1985,26.0,36.0,1.5908
216,manual,few,small,1985,24.0,30.0,1.5908
217,auto,few,small,1985,21.0,26.0,2.214
218,manual,few,small,1985,22.0,33.0,2.214
219,manual,few,small,1985,23.0,33.0,2.214
220,manual,few,small,1985,26.0,36.0,1.5908
221,auto,few,small,1985,19.0,24.0,2.214
222,manual,few,small,1985,22.0,31.0,2.214
223,lock-up,medium,small,1985,17.0,24.0,2.9684
224,lock-up,few,small,1985,21.0,29.0,1.804
225,lock-up,few,small,1985,17.0,23.0,1.804
226,manual,few,small,1985,19.0,27.0,1.804
227,manual,few,small,1985,23.0,32.0,1.804
228,manual,few,small,1985,22.0,29.0,1.9844
229,lock-up,few,small,1985,21.0,29.0,2.4764
230,manual,few,small,1985,21.0,31.0,2.4764
231,lock-up,medium,small,1985,18.0,24.0,2.9684
232,lock-up,few,small,1985,18.0,23.0,1.804
233,lock-up,few,small,1985,21.0,29.0,1.804
234,manual,few,small,1985,19.0,24.0,1.804
235,manual,few,small,1985,23.0,32.0,1.804
236,manual,few,small,1985,24.0,36.0,1.804
237,manual,few,small,1985,23.0,32.0,1.9844
238,lock-up,few,small,1985,21.0,29.0,2.4764
239,manual,few,small,1985,21.0,31.0,2.4764
240,auto,few,small,1985,22.0,26.0,1.3940000000000001
241,manual,few,small,1985,29.0,36.0,1.3940000000000001
242,manual,few,small,1985,26.0,32.0,1.3940000000000001
243,manual,few,small,1985,26.0,35.0,1.3940000000000001
244,auto,few,small,1985,19.0,24.0,1.722
245,manual,few,small,1985,25.0,33.0,1.722
246,auto,few,small,1985,22.0,26.0,1.3940000000000001
247,manual,few,small,1985,29.0,36.0,1.3940000000000001
248,manual,few,small,1985,26.0,32.0,1.3940000000000001
249,manual,few,small,1985,26.0,35.0,1.3940000000000001
250,auto,few,small,1985,19.0,24.0,1.722
251,manual,few,small,1985,25.0,33.0,1.722
252,auto,medium,small,1985,7.0,10.0,6.7568
253,auto,medium,small,1985,7.0,10.0,6.7568
254,auto,few,small,1985,16.0,21.0,1.9844
255,auto,few,small,1985,16.0,20.0,1.9844
256,manual,few,small,1985,17.0,23.0,1.9844
257,manual,few,small,1985,18.0,26.0,1.9844
258,auto,few,small,1985,16.0,20.0,1.9844
259,auto,few,small,1985,16.0,21.0,1.9844
260,manual,few,small,1985,17.0,23.0,1.9844
261,manual,few,small,1985,18.0,26.0,1.9844
262,lock-up,few,small,1985,23.0,26.0,1.7876
263,manual,few,small,1985,24.0,30.0,1.7876
264,lock-up,few,small,1985,21.0,24.0,1.7876
265,manual,few,small,1985,23.0,29.0,1.7876
266,lock-up,few,small,1985,22.0,26.0,1.7876
267,manual,few,small,1985,28.0,33.0,1.7876
268,manual,few,small,1985,24.0,30.0,1.7876
269,lock-up,few,small,1985,21.0,24.0,1.7876
270,manual,few,small,1985,23.0,29.0,1.7876
271,lock-up,few,small,1985,26.0,30.0,1.8368
272,lock-up,few,small,1985,23.0,29.0,2.0008
273,manual,few,small,1985,25.0,31.0,2.0008
274,lock-up,few,small,1985,24.0,29.0,1.5908
275,lock-up,few,small,1985,24.0,31.0,1.5908
276,manual,few,small,1985,26.0,33.0,1.5908
277,lock-up,few,small,1985,29.0,33.0,1.8368
278,manual,few,small,1985,32.0,42.0,1.8368
279,lock-up,medium,small,1985,17.0,22.0,2.7552
280,manual,medium,small,1985,18.0,22.0,2.7552
281,lock-up,few,small,1985,26.0,30.0,1.8368
282,lock-up,few,small,1985,23.0,29.0,2.0008
283,manual,few,small,1985,25.0,31.0,2.0008
284,lock-up,few,small,1985,24.0,29.0,1.5908
285,lock-up,few,small,1985,24.0,31.0,1.5908
286,manual,few,small,1985,26.0,33.0,1.5908
287,lock-up,few,small,1985,29.0,33.0,1.8368
288,manual,few,small,1985,32.0,42.0,1.8368
289,lock-up,medium,small,1985,17.0,22.0,2.7552
290,manual,medium,small,1985,18.0,22.0,2.7552
291,manual,few,small,1985,31.0,41.0,1.5908
292,auto,few,small,1985,21.0,25.0,1.7876
293,manual,few,small,1985,23.0,29.0,1.7876
294,manual,few,small,1985,23.0,31.0,1.7876
295,manual,few,small,1985,31.0,38.0,1.5908
296,manual,few,small,1985,31.0,41.0,1.5908
297,auto,few,small,1985,21.0,25.0,1.7876
298,auto,few,small,1985,21.0,25.0,1.7876
299,manual,few,small,1985,23.0,29.0,1.7876
300,manual,few,small,1985,23.0,31.0,1.7876
301,manual,few,small,1985,28.0,35.0,1.5908
302,auto,medium,small,1985,16.0,20.0,2.2304
303,manual,medium,small,1985,17.0,22.0,2.2304
304,manual,few,small,1985,31.0,41.0,1.5908
305,auto,few,small,1985,21.0,25.0,1.7876
306,manual,few,small,1985,23.0,29.0,1.7876
307,manual,few,small,1985,23.0,31.0,1.7876
308,manual,few,small,1985,31.0,38.0,1.5908
309,manual,few,small,1985,31.0,41.0,1.5908
310,auto,few,small,1985,21.0,25.0,1.7876
311,auto,few,small,1985,21.0,25.0,1.7876
312,manual,few,small,1985,23.0,31.0,1.7876
313,manual,few,small,1985,23.0,29.0,1.7876
314,manual,few,small,1985,28.0,35.0,1.5908
315,auto,medium,small,1985,16.0,20.0,2.2304
316,manual,medium,small,1985,17.0,22.0,2.2304
317,auto,few,small,1985,18.0,22.0,2.3124
318,manual,few,small,1985,21.0,26.0,2.3124
319,auto,few,small,1985,15.0,20.0,2.1319999999999997
320,manual,few,small,1985,15.0,21.0,2.1319999999999997
321,auto,few,small,1985,15.0,20.0,2.1319999999999997
322,manual,few,small,1985,15.0,20.0,2.1319999999999997
323,auto,few,small,1985,18.0,22.0,2.3124
324,manual,few,small,1985,21.0,26.0,2.3124
325,lock-up,medium,large,1985,17.0,24.0,3.7884
326,lock-up,medium,large,1985,15.0,21.0,5.0348
327,lock-up,medium,large,1985,15.0,23.0,2.9684
328,lock-up,medium,large,1985,19.0,29.0,4.3132
329,lock-up,medium,large,1985,15.0,20.0,3.7884
330,lock-up,medium,large,1985,19.0,29.0,4.3132
331,lock-up,medium,large,1985,15.0,20.0,3.7884
332,lock-up,medium,large,1985,15.0,22.0,5.0348
333,lock-up,medium,large,1985,18.0,26.0,5.74
334,lock-up,medium,large,1985,16.0,23.0,2.9684
335,lock-up,medium,large,1985,17.0,24.0,3.7884
336,lock-up,medium,large,1985,19.0,29.0,4.3132
337,lock-up,medium,large,1985,15.0,21.0,4.0836
338,lock-up,medium,large,1985,15.0,20.0,4.0836
339,lock-up,medium,large,1985,18.0,26.0,5.74
340,lock-up,medium,large,1985,15.0,22.0,4.0836
341,lock-up,medium,large,1985,19.0,29.0,4.3132
342,lock-up,medium,large,1985,15.0,20.0,4.0836
343,lock-up,medium,large,1985,15.0,20.0,4.0836
344,lock-up,medium,large,1985,15.0,21.0,4.2968
345,lock-up,medium,large,1985,16.0,22.0,4.2968
346,lock-up,medium,large,1985,15.0,23.0,4.2968
347,lock-up,medium,large,1985,15.0,22.0,5.002
348,lock-up,medium,large,1985,16.0,25.0,4.2968
349,lock-up,medium,large,1985,15.0,22.0,5.002
350,lock-up,medium,large,1985,11.0,17.0,5.74
351,lock-up,medium,large,1985,18.0,26.0,5.74
352,lock-up,medium,large,1985,18.0,27.0,5.74
353,lock-up,medium,large,1985,15.0,21.0,4.9528
354,lock-up,medium,large,1985,11.0,17.0,5.7564
355,lock-up,medium,large,1985,15.0,21.0,4.9528
356,lock-up,medium,large,1985,15.0,21.0,4.9528
357,lock-up,medium,large,1985,15.0,21.0,4.9528
358,lock-up,medium,large,1985,15.0,21.0,4.9528
359,lock-up,medium,large,1985,15.0,21.0,4.9528
360,lock-up,medium,large,1985,15.0,20.0,3.7884
361,lock-up,medium,large,1985,15.0,20.0,5.0348
362,lock-up,medium,large,1985,15.0,20.0,3.7884
363,lock-up,medium,large,1985,15.0,21.0,5.0348
364,lock-up,medium,large,1985,15.0,23.0,2.9684
365,lock-up,medium,large,1985,17.0,24.0,3.7884
366,lock-up,medium,large,1985,19.0,29.0,4.3132
367,lock-up,medium,large,1985,15.0,20.0,5.0348
368,lock-up,medium,large,1985,15.0,22.0,5.0348
369,lock-up,medium,large,1985,18.0,26.0,5.74
370,lock-up,medium,large,1985,18.0,27.0,5.74
371,lock-up,medium,large,1985,19.0,29.0,4.3132
372,lock-up,medium,large,1985,16.0,23.0,2.9684
373,lock-up,medium,large,1985,17.0,24.0,3.7884
374,lock-up,medium,large,1985,15.0,22.0,5.002
375,lock-up,medium,large,1985,15.0,21.0,4.2968
376,lock-up,medium,large,1985,15.0,23.0,4.2968
377,lock-up,medium,large,1985,18.0,26.0,5.74
378,lock-up,medium,large,1985,15.0,22.0,5.002
379,lock-up,medium,large,1985,18.0,27.0,5.74
380,lock-up,medium,large,1985,16.0,25.0,4.2968
381,lock-up,medium,large,1985,16.0,22.0,4.2968
382,auto,medium,large,1985,7.0,10.0,6.7568
383,auto,medium,large,1985,7.0,10.0,6.7568
384,lock-up,medium,midsize,1985,15.0,21.0,5.0348
385,lock-up,medium,midsize,1985,18.0,26.0,5.74
386,lock-up,medium,midsize,1985,15.0,20.0,5.0348
387,lock-up,medium,midsize,1985,14.0,20.0,5.002
388,lock-up,medium,midsize,1985,18.0,26.0,5.74
389,lock-up,medium,midsize,1985,14.0,20.0,5.002
390,lock-up,medium,midsize,1985,15.0,21.0,4.9528
391,lock-up,medium,midsize,1985,15.0,21.0,4.9528
392,lock-up,medium,midsize,1985,15.0,21.0,4.9528
393,lock-up,medium,midsize,1985,15.0,21.0,4.9528
394,lock-up,medium,midsize,1985,15.0,20.0,5.0348
395,lock-up,medium,midsize,1985,18.0,26.0,5.74
396,lock-up,medium,midsize,1985,15.0,21.0,5.0348
397,lock-up,medium,midsize,1985,14.0,20.0,5.002
398,lock-up,medium,midsize,1985,14.0,20.0,5.002
399,lock-up,medium,midsize,1985,18.0,26.0,5.74
400,auto,medium,midsize,1985,15.0,19.0,2.1484
401,auto,medium,midsize,1985,15.0,20.0,2.2304
402,manual,medium,midsize,1985,17.0,23.0,2.2304
403,auto,medium,midsize,1985,15.0,20.0,2.1484
404,auto,medium,midsize,1985,15.0,20.0,2.2304
405,manual,medium,midsize,1985,17.0,23.0,2.2304
406,lock-up,medium,midsize,1985,23.0,32.0,4.3132
407,lock-up,medium,midsize,1985,17.0,22.0,3.7884
408,lock-up,medium,midsize,1985,15.0,22.0,3.7884
409,lock-up,medium,midsize,1985,16.0,21.0,4.2968
410,lock-up,medium,midsize,1985,16.0,25.0,4.2968
411,lock-up,medium,midsize,1985,21.0,29.0,4.3132
412,lock-up,few,midsize,1985,21.0,29.0,2.4764
413,lock-up,medium,midsize,1985,16.0,24.0,2.9684
414,lock-up,medium,midsize,1985,15.0,23.0,2.9684
415,lock-up,medium,midsize,1985,16.0,23.0,3.7884
416,lock-up,few,midsize,1985,21.0,29.0,2.4764
417,lock-up,medium,midsize,1985,16.0,23.0,2.9684
418,lock-up,medium,midsize,1985,16.0,23.0,2.9684
419,lock-up,medium,midsize,1985,16.0,23.0,3.7884
420,lock-up,medium,midsize,1985,18.0,26.0,5.74
421,lock-up,medium,midsize,1985,15.0,22.0,3.7884
422,lock-up,medium,midsize,1985,15.0,20.0,5.0348
423,lock-up,medium,midsize,1985,18.0,26.0,5.74
424,lock-up,medium,midsize,1985,23.0,32.0,4.3132
425,lock-up,medium,midsize,1985,16.0,22.0,3.7884
426,lock-up,medium,midsize,1985,16.0,21.0,4.2968
427,lock-up,medium,midsize,1985,16.0,24.0,4.2968
428,lock-up,medium,midsize,1985,15.0,21.0,5.0348
429,lock-up,medium,midsize,1985,15.0,20.0,4.0836
430,lock-up,medium,midsize,1985,17.0,26.0,5.74
431,lock-up,medium,midsize,1985,15.0,20.0,4.0836
432,lock-up,medium,midsize,1985,17.0,26.0,5.74
433,lock-up,medium,midsize,1985,15.0,21.0,4.0836
434,lock-up,medium,midsize,1985,15.0,21.0,4.0836
435,lock-up,medium,midsize,1985,17.0,26.0,2.8372
436,lock-up,medium,midsize,1985,23.0,31.0,4.3132
437,lock-up,few,midsize,1985,21.0,29.0,2.4764
438,manual,few,midsize,1985,21.0,31.0,2.4764
439,lock-up,medium,midsize,1985,17.0,24.0,2.8372
440,manual,medium,midsize,1985,15.0,21.0,2.8372
441,lock-up,medium,midsize,1985,16.0,21.0,4.2968
442,lock-up,medium,midsize,1985,16.0,24.0,4.2968
443,lock-up,medium,midsize,1985,15.0,20.0,5.002
444,lock-up,medium,midsize,1985,15.0,21.0,5.002
445,lock-up,few,midsize,1985,21.0,29.0,2.4764
446,manual,few,midsize,1985,21.0,29.0,2.4764
447,lock-up,medium,midsize,1985,18.0,25.0,2.8372
448,lock-up,few,midsize,1985,21.0,29.0,2.4764
449,manual,few,midsize,1985,21.0,29.0,2.4764
450,lock-up,medium,midsize,1985,17.0,24.0,2.8372
451,lock-up,medium,midsize,1985,17.0,25.0,2.8372
452,lock-up,medium,midsize,1985,18.0,24.0,2.8372
453,lock-up,medium,midsize,1985,17.0,26.0,2.8372
454,lock-up,medium,midsize,1985,23.0,32.0,4.3132
455,lock-up,few,midsize,1985,21.0,29.0,2.4764
456,manual,few,midsize,1985,21.0,31.0,2.4764
457,lock-up,medium,midsize,1985,18.0,25.0,2.8372
458,manual,medium,midsize,1985,17.0,24.0,2.8372
459,lock-up,medium,midsize,1985,18.0,24.0,2.8372
460,manual,medium,midsize,1985,16.0,21.0,2.8372
461,lock-up,medium,midsize,1985,16.0,21.0,4.2968
462,lock-up,medium,midsize,1985,16.0,25.0,4.2968
463,lock-up,medium,midsize,1985,15.0,20.0,5.002
464,lock-up,medium,midsize,1985,15.0,22.0,5.002
465,auto,few,midsize,1985,17.0,22.0,2.214
466,auto,few,midsize,1985,18.0,21.0,2.5584
467,lock-up,medium,midsize,1985,15.0,19.0,5.2152
468,manual,few,midsize,1985,19.0,30.0,2.214
469,manual,few,midsize,1985,21.0,30.0,2.214
470,manual,few,midsize,1985,17.0,26.0,2.214
471,auto,few,midsize,1985,17.0,22.0,2.214
472,auto,few,midsize,1985,18.0,21.0,2.5584
473,auto,few,midsize,1985,17.0,22.0,2.214
474,auto,few,midsize,1985,19.0,23.0,2.214
475,auto,few,midsize,1985,18.0,21.0,2.5584
476,auto,few,midsize,1985,19.0,24.0,2.214
477,auto,few,midsize,1985,18.0,21.0,2.5584
478,auto,few,midsize,1985,21.0,24.0,2.214
479,auto,few,midsize,1985,18.0,21.0,2.214
480,auto,few,midsize,1985,18.0,21.0,2.5584
481,auto,few,midsize,1985,18.0,21.0,2.214
482,auto,few,midsize,1985,21.0,24.0,2.214
483,manual,few,midsize,1985,21.0,30.0,2.214
484,manual,few,midsize,1985,17.0,26.0,2.214
485,auto,few,midsize,1985,18.0,21.0,2.214
486,auto,few,midsize,1985,18.0,21.0,2.5584
487,lock-up,medium,midsize,1985,15.0,20.0,5.2152
488,auto,few,midsize,1985,18.0,23.0,2.214
489,manual,few,midsize,1985,22.0,27.0,2.214
490,manual,few,midsize,1985,21.0,31.0,2.214
491,manual,few,midsize,1985,22.0,31.0,2.214
492,auto,few,midsize,1985,19.0,24.0,2.214
493,auto,few,midsize,1985,18.0,21.0,2.5584
494,lock-up,medium,midsize,1985,15.0,19.0,5.2152
495,lock-up,medium,midsize,1985,11.0,14.0,5.2152
496,auto,few,midsize,1985,17.0,22.0,2.214
497,auto,few,midsize,1985,19.0,23.0,2.214
498,manual,few,midsize,1985,19.0,30.0,2.214
499,manual,few,midsize,1985,21.0,30.0,2.214
500,manual,few,midsize,1985,17.0,26.0,2.214
501,auto,few,midsize,1985,17.0,22.0,2.214
502,auto,few,midsize,1985,19.0,23.0,2.214
503,auto,few,midsize,1985,18.0,21.0,2.5584
504,manual,few,midsize,1985,21.0,31.0,2.214
505,manual,few,midsize,1985,17.0,26.0,2.214
506,auto,few,midsize,1985,18.0,21.0,2.214
507,auto,few,midsize,1985,21.0,24.0,2.214
508,auto,few,midsize,1985,18.0,21.0,2.5584
509,auto,few,midsize,1985,21.0,26.0,2.214
510,manual,few,midsize,1985,23.0,30.0,2.214
511,manual,few,midsize,1985,22.0,30.0,2.214
512,auto,few,midsize,1985,21.0,24.0,2.214
513,auto,few,midsize,1985,18.0,22.0,2.5584
514,lock-up,medium,midsize,1985,15.0,20.0,5.2152
515,lock-up,medium,midsize,1985,11.0,14.0,5.2152
516,auto,few,midsize,1985,18.0,21.0,2.214
517,auto,few,midsize,1985,21.0,24.0,2.214
518,auto,few,midsize,1985,18.0,22.0,2.296
519,lock-up,medium,midsize,1985,16.0,20.0,3.7884
520,lock-up,medium,midsize,1985,15.0,22.0,4.9528
521,auto,few,midsize,1985,18.0,23.0,2.296
522,lock-up,medium,midsize,1985,17.0,20.0,3.7884
