,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
707,manual,few,midsize,1994,18.0,25.0,2.0008,0.03213711865150666,-0.020029946691373833
708,manual,few,small,1985,23.0,29.0,1.7876,-0.05595129901865477,-0.0764888511243369
709,lock-up,few,small,1986,25.0,29.0,1.476,-0.06403989693317139,-0.0639050257965534
710,lock-up,medium,midsize,1986,15.0,20.0,5.2152,0.024674941203560386,-0.016548666839483306
711,manual,medium,large,1990,11.0,13.0,5.74,0.023919455004434438,-0.01667526607842416
712,auto,few,midsize,2000,18.0,22.0,2.7,0.029999903754976985,-0.021273961542401403
713,manual,few,midsize,1987,21.0,29.0,2.214,-0.055862226715571006,-0.07601093432603014
714,auto,medium,midsize,2000,15.0,21.0,5.5,0.03205326539676358,-0.021086363967246766
715,manual,few,large,1986,21.0,26.0,1.7876,0.010549715995921697,-0.03216676180787017
716,manual,few,small,2000,33.0,41.0,1.0,-0.012158844588477255,-0.04768018070950584
717,auto,medium,small,1995,16.0,21.0,3.198,0.02592711619233905,-0.017698599803333572
718,lock-up,few,small,1996,22.0,30.0,2.0008,-0.02536958435428572,-0.05655339761435317
719,lock-up,medium,midsize,1992,15.0,23.0,5.74,0.03095442394755538,-0.021023571184345648
720,manual,medium,large,1988,14.0,20.0,5.002,0.017598834712798307,-0.014192387173462872
721,lock-up,medium,midsize,1994,15.0,23.0,4.346,0.029334299055080365,-0.01997700006458198
722,lock-up,medium,small,1995,15.0,23.0,3.9852,0.029065873726366452,-0.019360439093417746
723,lock-up,few,small,1987,21.0,27.0,1.9516,0.009707853772711095,-0.03386767986061259
724,manual,few,midsize,1999,17.0,25.0,2.0,0.03060540601830985,-0.020691116269596337
725,auto,medium,large,1990,13.0,15.0,4.92,0.023968304977772713,-0.016413162061568502
726,auto,medium,midsize,2004,13.0,17.0,5.3,0.026870469228462607,-0.01861917350441994
727,manual,few,small,1987,18.0,29.0,1.9844,-0.05450866702880418,-0.07278383663990157
728,lock-up,few,small,1994,23.0,30.0,1.8368,-0.051833616527825144,-0.07255187359194099
729,manual,few,small,1985,21.0,27.0,1.804,0.010141737159924783,-0.03262293885860675
730,lock-up,medium,large,1988,14.0,17.0,3.9196,0.023961186764484926,-0.01645135234291685
731,auto,medium,small,2006,19.0,27.0,2.5,0.02675207426205642,-0.025329886906648367
732,auto,few,midsize,1987,17.0,22.0,2.214,0.02473138749991765,-0.017710644324871454
733,auto,medium,midsize,2005,11.0,17.0,5.6,0.025921223883347763,-0.017665032085141592
734,auto,medium,large,2005,15.0,21.0,4.2,0.02736966537104155,-0.020280771427492468
735,manual,medium,large,1992,13.0,17.0,4.9528,0.02391357515630206,-0.016706815384165626
736,auto,medium,large,2000,15.0,22.0,4.2,0.0337161493450224,-0.022116166496485373
737,lock-up,medium,small,1987,18.0,24.0,2.8372,0.034492335302877486,-0.02108852346038434
738,manual,medium,small,2004,18.0,27.0,2.8,0.02711032541421407,-0.025917986667013417
739,manual,few,small,1987,22.0,29.0,1.7876,-0.05588105732321684,-0.07611196981141984
740,manual,medium,large,1988,15.0,19.0,4.2968,0.015777585462578694,-0.012733321175813207
741,lock-up,medium,large,1987,15.0,20.0,6.2156,0.022320417090658753,-0.016073470283611162
742,auto,medium,large,1987,15.0,17.0,4.2968,0.023848668720444277,-0.017055067068386373
743,auto,medium,large,2007,11.0,17.0,3.9,0.025167659240885196,-0.01771453715425205
744,auto,few,midsize,2001,21.0,23.0,2.0,0.028194284627983117,-0.02266736427743629
745,auto,medium,small,2008,13.0,19.0,2.7,0.027568103551803384,-0.020219906762855296
746,auto,medium,midsize,2005,17.0,24.0,2.5,0.02921921374414576,-0.02384434721361333
747,lock-up,medium,large,1995,11.0,15.0,5.002,0.023832665012497145,-0.01714093930637388
748,auto,medium,midsize,2006,15.0,21.0,3.0,0.02771804536582584,-0.02124820677381787
749,auto,few,small,2005,17.0,24.0,2.0,0.02895013610441262,-0.02528808131936358
750,auto,medium,small,2004,19.0,25.0,3.2,0.027966064133966136,-0.024724229024811528
751,manual,few,small,1997,21.0,29.0,1.886,-0.007689543808279332,-0.047703838707635435
752,auto,medium,small,2008,17.0,24.0,3.6,0.02665415163847816,-0.023979262310024105
753,lock-up,medium,large,1992,16.0,23.0,3.8048,0.029522440044155177,-0.018894450689435682
754,manual,few,midsize,2007,19.0,26.0,2.5,0.025343050223571403,-0.025968598017826753
755,manual,medium,small,2005,19.0,29.0,2.5,0.027672491369654113,-0.025469220389697497
756,lock-up,medium,large,1996,15.0,19.0,4.2968,0.026451574526952994,-0.019283956201645427
757,manual,medium,small,2008,12.0,18.0,5.0,0.02663466616488227,-0.019956980212407313
758,manual,few,small,1990,25.0,33.0,1.476,-0.06835157786722508,-0.06421207269072554
759,manual,few,small,2000,18.0,24.0,2.0,0.030663954219414414,-0.02138044100093572
760,manual,medium,small,2004,16.0,24.0,2.6,0.028430204244689443,-0.0245490273820005
761,auto,medium,midsize,2003,17.0,24.0,3.0,0.030871271104562018,-0.023500043290052022
762,auto,medium,large,1990,15.0,16.0,4.2968,0.023805777601948946,-0.01728520115846606
763,auto,medium,small,1985,19.0,23.0,3.0012,0.01972515337997899,-0.014053838291756132
764,auto,medium,small,2006,11.0,16.0,4.3,0.025293202661457702,-0.018792603595696716
765,lock-up,medium,small,1991,15.0,17.0,2.4928,0.023841367189829668,-0.01709424702975072
766,auto,medium,large,2001,11.0,16.0,5.9,0.025565826084165966,-0.018838881611173794
767,manual,medium,small,2002,16.0,24.0,3.6,0.03291131989441753,-0.023386972938698646
768,auto,few,midsize,1987,17.0,22.0,2.214,0.02490976204102608,-0.016753577035087286
769,manual,medium,large,1987,15.0,20.0,2.8372,0.0041569694195200575,-0.007178537354294233
770,manual,few,small,2007,22.0,29.0,2.3,0.023200173695981582,-0.028016360047810537
771,manual,few,small,1986,22.0,27.0,1.9516,0.010428912477815817,-0.03289460387407789
772,auto,few,small,1999,23.0,33.0,1.9,-0.03786191272038325,-0.06216689490126702
773,manual,few,small,1990,21.0,30.0,2.296,-0.05499652790914383,-0.07434019119807503
774,lock-up,few,midsize,1993,21.0,26.0,2.4928,0.02428363595995464,-0.023227901371209204
775,auto,few,small,1988,18.0,23.0,2.214,0.03450111417092021,-0.021039939516667952
776,manual,few,small,2004,25.0,33.0,2.0,-0.012733907309336184,-0.04633483898056768
777,auto,medium,midsize,2000,11.0,16.0,4.4,0.02330027570178256,-0.01702872108494597
778,manual,few,small,1996,29.0,35.0,1.5908,-0.012956981765796148,-0.048316008594144366
779,auto,medium,large,1998,14.0,19.0,4.6,0.027269995713903535,-0.01906127344680471
