,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
832,22,Male,3,500,West,10,5,Yes,2,1244.1828735174317,-97.03954618839427
833,56,Female,5,2500,West,10,4,No,3,-751.0007765490897,51.97381265419443
834,40,Male,3,2700,East,9,5,No,2,-948.1336042411972,93.08365635111454
835,73,Male,3,860,East,5,2,No,3,885.974896459346,-44.163419338179544
836,65,Female,3,1000,West,9,4,No,3,746.0259649549333,-41.560991986859136
837,50,Female,5,3100,West,8,3,No,3,-1347.6711457028305,117.55472581068504
838,36,Male,3,1680,East,8,3,No,9,65.85033285988929,-21.957714208876695
839,54,Male,3,2700,East,8,4,No,3,-948.9267952763636,84.4629679432729
840,69,Male,3,3500,West,9,3,No,6,-1744.5773395538486,170.77935523894757
841,60,Female,5,1200,West,8,4,Yes,2,545.796867622407,-40.048252692385816
842,22,Male,5,450,West,6,3,No,3,1296.4400903690841,-61.675103992992554
843,46,Male,3,1000,East,8,4,No,9,745.548866931166,-51.95408381670773
844,45,Male,3,1200,East,7,3,No,5,545.0939989311597,-53.543567019699665
845,28,Female,5,1600,West,6,3,No,1,146.8711678232307,-7.816434201615322
846,44,Female,2,450,East,5,4,No,9,1294.5858151044372,-84.71891413838138
847,72,Female,5,620,East,7,3,No,6,1126.4139621482616,-41.29197828470854
848,69,Female,2,650,West,5,2,No,6,1096.339400402155,-41.80954436785632
849,38,Male,2,3000,West,10,4,Yes,2,-1246.8831443845036,121.45363000245334
850,52,Male,2,1300,West,3,4,No,6,445.46492191308914,-43.93821975466045
851,27,Female,5,400,West,7,5,Yes,3,1344.891642413925,-88.13067087347578
852,59,Male,3,2375,West,9,3,No,6,-627.1720266711491,31.39632385970769
853,33,Male,5,600,West,7,5,Yes,6,1144.7451951190455,-81.83928625122076
854,47,Male,2,2700,West,8,3,No,6,-949.0282145309791,83.47168206444161
855,45,Female,5,1800,West,6,4,No,2,-53.30306972593566,-5.8600164316469945
856,53,Male,4,4000,West,7,4,No,6,-2243.5603572539994,204.8680171661856
857,63,Male,3,1050,East,8,2,No,3,695.5748044770284,-50.45455945028885
858,82,Male,3,1600,West,8,3,Yes,9,144.18103366153608,-55.854941923688855
859,50,Female,3,1100,West,7,4,No,2,645.2001209785327,-54.026514102803844
860,39,Female,5,1188,West,10,5,No,9,556.8272396039262,-60.206951219005504
861,34,Male,5,3200,West,8,4,Yes,2,-1445.544240379182,145.5961391725575
862,53,Female,3,350,East,6,2,Yes,6,1394.7773985486538,-86.81972957784483
863,70,Male,2,690,West,8,2,Yes,3,1056.362903987387,-40.221409936603976
864,65,Male,3,880,East,5,3,No,9,865.6465237354566,-52.57207425284234
865,66,Male,3,500,East,7,3,No,2,1245.9339048978147,-55.1044513254092
866,20,Male,3,450,West,9,4,No,1,1295.3783596541773,-83.54400588929964
867,76,Male,5,1600,East,10,5,No,3,144.53527963930478,-49.69239535242411
868,28,Male,3,1000,East,7,4,No,9,744.1470713010846,-79.85551937546244
869,28,Female,5,6250,West,9,4,Yes,6,-4480.32187452315,456.99690513056595
870,45,Male,5,2000,West,7,3,No,1,-252.86183900255722,7.5851711328808
871,27,Female,5,1400,East,8,4,No,2,344.2079863217146,-63.6982762344197
872,51,Male,2,720,West,2,1,No,9,1025.6939288513645,-57.377549302928635
873,68,Male,5,4500,West,9,5,Yes,6,-2739.7724301632306,270.08530829110134
874,42,Male,5,400,West,8,4,Yes,1,1345.3536910630385,-74.81817192786467
875,37,Female,5,1500,East,9,4,Yes,3,244.823419326436,-47.35045358793431
876,43,Female,3,590,West,6,4,No,1,1155.2254658674,-71.22527543880123
877,60,Female,3,800,East,8,4,No,1,945.5144008434777,-56.79336002916028
878,79,Female,3,2000,West,10,3,Yes,5,-255.10213242944226,-26.170491707892673
879,31,Male,2,1900,West,9,5,Yes,3,-154.77786832599475,-21.94054855057156
880,52,Female,3,2200,West,9,4,No,2,-452.79875180869584,16.452309708988043
881,37,Female,5,1600,East,8,4,No,6,146.597735983194,-13.64967605099946
882,27,Male,1,750,East,8,4,Yes,3,996.6748912369558,-49.139353313315695
883,65,Female,4,800,East,8,3,No,1,945.2756012807555,-60.52374761065763
884,62,Male,3,2875,West,7,3,No,2,-1123.3378558904524,99.21995800466038
885,35,Male,4,1500,East,8,3,No,9,244.69933097491008,-49.5339593124545
886,69,Male,3,1250,East,8,3,No,6,496.29653511033973,-28.686839426849765
887,42,Female,4,450,West,9,5,No,6,1295.2022542181485,-75.45309613028165
888,56,Female,4,2070,East,7,3,No,6,-323.3745682392588,2.2891529321919992
889,53,Female,3,450,East,2,1,No,11,1295.6193180942764,-65.28011842848268
890,90,Male,4,3500,West,6,3,Yes,1,-1742.8025888624243,191.18797720022621
891,75,Female,4,1063,East,5,2,No,9,683.1776835753041,-39.15242627119354
892,63,Male,3,1000,East,10,3,No,5,745.9672406875012,-42.66243036376152
893,73,Male,3,1625,East,8,3,No,9,120.45201097323967,-27.905776784897345
894,53,Male,5,4500,West,8,4,Yes,5,-2741.310102776919,253.41462254187104
895,64,Female,2,1300,West,10,4,No,6,446.1236603156561,-31.264337637424187
896,48,Male,3,2500,East,8,4,No,6,-750.7869044788092,54.27787427869861
897,70,Female,2,500,West,8,3,No,3,1245.9890577877015,-53.999843066809575
898,68,Female,2,400,West,9,4,No,5,1343.079410959693,-108.5011737365508
899,28,Female,4,770,West,5,5,No,9,976.9161165214671,-40.24758703655406
900,62,Male,5,4005,West,9,4,Yes,2,-2248.7169256048214,204.08946203858073
901,52,Male,3,2000,East,8,3,No,5,-253.307463237497,0.7955221834075235
902,75,Male,3,970,East,6,3,No,1,776.3867132399736,-36.239601537288635
903,35,Male,2,2000,West,7,3,No,6,-252.43784928193597,14.525094977199517
904,51,Male,5,4000,West,7,2,Yes,5,-2244.1017570266954,198.91174051153746
905,80,Male,2,900,West,10,4,No,6,845.3611498660857,-57.55775301163823
906,65,Female,2,2200,West,7,3,No,9,-451.9969358794469,27.64716717718232
907,34,Male,3,1875,West,8,3,No,3,-129.81168901748532,-24.455964447775205
908,26,Female,4,400,West,8,3,No,9,1345.0444928074714,-86.51921528386208
909,61,Male,3,7500,West,8,4,No,5,-5709.8771322720895,710.778156513008
910,54,Male,3,2875,West,10,5,No,9,-1123.9981435945715,91.91521087628122
911,43,Male,3,2375,West,8,4,No,6,-626.9824511617174,34.13375792986334
912,53,Female,5,2800,East,10,5,No,6,-1050.3695546905683,72.54406474721107
913,64,Male,5,755,West,10,4,Yes,1,990.9528219755468,-48.29792953788328
914,18,Male,3,480,West,9,5,No,6,1266.5797188878926,-62.31477852441119
915,49,Male,3,1700,West,8,3,No,9,46.054176148491486,-19.269467523393097
916,63,Female,3,2875,West,9,5,No,6,-1123.2592588632342,100.1175515619864
917,66,Female,3,688,West,9,5,No,2,1058.2274113020028,-43.8233025460348
918,65,Female,2,901,West,8,3,No,6,844.706623352877,-49.67510868609154
919,40,Male,4,1800,West,8,4,No,5,-53.0739325242463,-2.123635238118989
920,53,Male,2,2400,West,8,4,No,3,-651.86906246589,36.64646044167653
921,27,Male,4,2000,East,8,3,No,1,-254.1617495983782,-7.176921268325625
922,52,Male,5,3000,West,9,4,Yes,3,-1248.054071814147,108.38953044349728
923,69,Male,2,970,West,6,3,No,3,776.0174673014315,-44.00125634595761
924,55,Female,3,1313,East,8,3,No,3,432.68876933377476,-39.041435217094964
925,56,Female,3,600,West,9,4,Yes,2,1145.6944199998159,-59.25674469144717
926,39,Male,3,2000,West,10,5,Yes,6,-252.55004490785225,12.47550537739041
927,73,Female,2,110,West,6,3,No,2,1635.1280703522286,-90.83512623587808
928,58,Female,3,700,East,7,4,No,1,1045.9597118874312,-50.60231781371047
929,19,Female,4,700,West,8,4,Yes,2,1044.8146692877028,-85.48244786762062
930,21,Male,5,300,West,8,5,Yes,2,1443.8646517705256,-108.10659638599351
931,56,Female,4,2600,West,8,3,No,3,-849.6682599322614,71.57037234440268
932,26,Male,4,2100,West,3,5,No,9,-354.4205025744181,-8.24331268177609
933,28,Female,5,600,West,7,4,No,3,1144.5629585962151,-86.43440530799197
934,75,Female,2,1200,East,5,3,No,6,546.4882594779652,-26.80041072665315
935,78,Male,5,1430,East,10,3,No,3,316.3525681791569,-23.306480642807852
936,35,Female,3,1100,East,7,4,No,1,644.5002753448424,-67.85261517613574
937,68,Male,3,800,East,7,4,No,3,945.0920871633253,-63.40361049720262
938,58,Male,5,4200,West,9,3,No,6,-2443.676448744967,213.0486562037113
939,34,Male,3,2900,West,10,5,Yes,5,-1148.8016879822057,96.62188935114962
940,66,Male,3,1590,East,7,3,No,9,155.07654870023475,-41.3930671083433
941,31,Male,3,2500,East,10,5,Yes,6,-752.4214478212906,35.25107733123433
942,51,Male,3,2300,East,9,4,No,9,-552.4820034662497,24.634452563384404
943,51,Male,3,1438,East,8,4,No,3,307.2826032107883,-42.38808831793089
944,20,Female,5,720,West,9,5,No,3,1024.5271075632215,-88.10435166157238
945,65,Female,5,900,East,9,4,No,1,845.727446447918,-49.82400007380599
946,50,Female,3,2400,East,8,4,No,5,-651.9556495110539,35.54386115269797
947,55,Male,2,2600,West,9,3,No,2,-850.2096991484875,65.53422940967866
948,49,Female,3,1100,East,8,4,No,2,645.1502427923937,-55.005890649544696
949,71,Male,3,2000,West,4,3,Yes,6,-253.65470615181766,-3.5167536316926205
950,54,Female,5,1200,West,9,4,Yes,6,545.527499002748,-45.179978280913396
951,45,Female,4,450,West,10,5,Yes,6,1295.248960313473,-73.7835460848104
952,84,Male,5,1800,East,10,4,No,3,-55.65189808182065,-43.29379009150977
953,58,Female,3,1700,East,6,3,No,1,45.84842547691173,-22.81845831385191
954,47,Male,5,2375,East,7,3,No,2,-626.6843839260657,37.6843908393763
955,66,Female,5,488,East,5,4,Yes,2,1257.9348723731493,-54.884300116167935
956,82,Male,2,1063,East,8,3,No,6,683.212162153169,-40.71358672611747
957,37,Male,5,3500,West,10,5,No,6,-1745.5295067815648,160.46434874084275
958,51,Male,2,1900,West,8,3,No,9,-153.7663996487085,-9.21912436412966
959,58,Female,2,1500,West,4,2,No,5,245.81015509497888,-30.953918590821385
960,82,Male,5,1500,East,8,3,No,3,244.49493523423945,-56.23635875842666
961,86,Male,2,1500,West,9,3,No,3,247.16212825984115,-7.941454623375696
962,81,Female,3,1100,West,9,4,Yes,3,646.6724710107621,-25.74477301123437
963,58,Male,2,1650,West,8,3,No,3,95.50847695211787,-30.29028678685895
964,64,Female,3,450,East,9,3,No,6,1293.569745051267,-98.41683419087938
965,34,Male,3,1600,East,9,5,No,5,146.76592218137512,-10.55445156934278
966,48,Male,5,4000,West,7,1,Yes,5,-2244.250331343961,197.2794369173971
967,49,Male,5,2000,West,7,4,No,2,-253.11846998734742,3.6904404673205913
968,51,Female,4,813,West,9,4,No,6,932.9445698777528,-49.568609987362066
969,82,Male,3,2625,West,8,3,No,6,-877.0978941512592,47.20074814183999
970,66,Female,3,1000,East,9,5,No,6,745.6074605647797,-50.58380950821292
971,74,Male,2,1450,West,4,4,No,9,296.0553137085372,-29.274037910929227
972,72,Male,2,760,West,5,3,No,9,986.1520921823341,-43.40526486056276
973,24,Male,2,1800,West,7,4,Yes,1,-51.967110721095274,15.470491223161016
974,54,Female,2,1100,West,10,3,No,3,645.3974386872223,-50.166251725546026
975,29,Female,5,650,East,8,5,No,1,1094.8538117385601,-81.10841627796466
976,61,Female,2,420,West,8,4,No,2,1325.8906285231758,-62.30635623844268
977,52,Female,4,1700,West,9,5,Yes,2,45.814437268319246,-23.366550044172975
978,55,Female,3,1800,West,7,3,No,1,-53.80306555267697,-13.981818732779756
979,49,Male,2,2400,East,9,4,Yes,6,-651.9646313621012,35.48909663490799
980,52,Female,3,1300,East,7,4,No,3,445.5099973788525,-43.02303672140184
981,50,Female,5,2000,West,8,5,Yes,2,-253.17710814269424,2.8043035510305736
982,20,Male,5,688,West,7,4,No,5,1056.5741911595692,-88.88092840196514
983,82,Female,2,1500,West,10,3,No,6,246.9532188443782,-11.266435641983062
984,75,Female,3,360,West,8,4,No,2,1386.5154714601615,-53.100522016285
985,66,Female,5,650,West,10,5,No,2,1096.2201583204683,-44.92440599304027
986,80,Male,2,1625,West,10,2,Yes,6,121.19528276547777,-12.330329037889602
