,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
796,73,Male,2,1063,East,5,4,No,9,-7.862582404400996,15.43201009376019
797,37,Male,5,2300,West,9,5,Yes,2,-7.8074580679751335,15.29215060196789
798,25,Female,5,1500,West,7,5,No,3,-7.798957465388003,15.270912264849404
799,52,Male,5,7300,West,9,4,No,3,-501.0575281654174,15.721266707862885
800,63,Female,3,1875,West,8,5,No,2,-7.764504952319326,15.183427330607552
801,61,Male,2,2375,West,8,5,No,1,-7.8599438297816215,15.425304527345155
802,33,Female,5,2300,West,9,5,No,5,-7.805434645538041,15.28701607294688
803,64,Male,2,1700,West,8,4,No,3,-7.763434703243297,15.180695090286042
804,69,Male,2,1600,West,9,3,No,3,-7.764220100969094,15.182801506104079
805,43,Female,5,2875,East,9,4,Yes,3,-9.209669374829161,-597.6917217864735
806,37,Male,3,1100,West,8,4,Yes,3,-7.861022784860011,15.428046628529536
807,59,Female,3,1600,West,10,5,No,3,-7.773310703440127,15.205842016056241
808,24,Female,4,1800,West,9,4,No,3,-7.820978558988331,15.32663437629655
809,39,Male,5,1200,West,7,4,No,1,-7.8571575779839735,15.418230651264668
810,61,Male,2,2500,West,9,2,No,3,-7.862453835610793,15.431683341759298
811,23,Male,5,500,West,7,3,No,2,-7.444639819927063,14.390597264986088
812,64,Male,5,9500,West,8,4,No,5,-3091.112275210237,18.351806354972485
813,42,Male,5,6000,West,8,4,No,5,775.372587397882,5.2329577961046505
814,53,Male,3,750,West,5,1,Yes,9,-7.629313767457261,14.84778255229852
815,38,Male,3,1600,East,7,4,No,5,-7.798810535753056,15.270458406499579
816,22,Male,5,440,East,7,5,No,4,-7.502365651348413,14.534961052725048
817,77,Female,2,1400,East,6,3,No,3,-7.808671883813936,15.295296261381642
818,87,Male,2,700,West,5,1,No,6,-7.665915059728707,14.939619132683113
819,83,Female,5,800,West,8,3,Yes,2,-7.453373870198623,14.405676738539189
820,71,Male,2,950,East,6,5,No,9,-7.859573402192934,15.424363274215663
821,46,Male,3,2000,East,8,3,No,2,-7.848855332742998,15.397183013895326
822,57,Male,5,6000,West,9,4,No,6,774.3000997585933,5.245721188012101
823,69,Female,3,1400,East,5,1,No,3,-7.813241290382842,15.306885176882476
824,48,Male,3,1200,West,8,3,No,6,-7.857874063299189,15.420051609636504
825,35,Male,4,2100,East,8,4,No,9,-7.812854416724281,15.305710801732813
826,57,Female,5,1500,West,7,2,No,2,-7.781432111071291,15.226524967358435
