,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
583,48,Male,5,3000,West,7,3,No,3,-4.330100255596448e-05,3.700327054792857e-05
584,18,Male,5,400,West,9,3,No,6,-6.154578976897818e-05,-1.1625663798253743e-05
585,36,Female,5,1600,West,8,5,Yes,3,-1.3263993690513474e-05,9.270028600542476e-06
586,68,Female,3,890,West,10,4,Yes,6,6.754787684450439e-05,0.0002640571498533041
587,40,Male,2,460,East,3,2,No,1,3.2940035657648254e-05,1.1270771267262627e-05
588,42,Male,3,2500,West,8,3,No,2,-6.356182039175381e-05,-1.7589859048781814e-05
589,71,Female,3,300,West,8,3,Yes,5,-3.2944579606302645e-05,5.936147012067355e-07
590,53,Female,3,1400,East,10,4,No,3,-9.19426568769463e-06,-5.918318568765013e-05
591,43,Female,3,1600,West,8,4,No,11,-4.54415476804737e-05,9.703823487847104e-06
592,52,Female,3,1200,West,8,4,No,2,2.6722838431749236e-05,-4.441510826725519e-06
593,41,Female,3,700,West,7,4,No,3,2.1160849283797904e-05,-5.723706536211841e-05
594,55,Male,5,4500,West,9,4,No,2,2.2131684970708075e-05,-8.664222783339415e-05
595,32,Female,3,765,West,9,5,No,3,-5.952984448970647e-05,-0.0002613673658411076
596,60,Female,3,400,East,7,3,No,6,2.0053215068081517e-05,-8.818551767559468e-06
597,51,Male,3,1625,West,8,3,No,3,-5.040791271641388e-05,5.74806323865721e-06
598,76,Female,2,1300,West,10,3,Yes,5,0.0007458686427206384,2.327376631886326e-05
599,66,Female,3,1000,East,9,1,No,6,5.470065642728186e-05,2.0886789709885504e-05
600,46,Female,3,938,East,5,2,No,1,7.002277534754603e-05,2.007633211490584e-05
601,24,Male,3,1100,East,7,4,No,1,-2.1498011595651522e-05,-8.749788821665534e-05
602,50,Female,3,450,West,8,4,No,6,4.3567541154889574e-05,1.0708633447879159e-05
603,51,Female,5,3500,West,7,3,Yes,2,-6.373695235005647e-05,-2.405683798258104e-06
604,28,Female,5,450,West,9,5,Yes,2,-2.4782895016180182e-05,1.4324003490745516e-05
605,54,Female,5,1000,West,5,2,No,1,-0.0024899097125860303,0.26725131769101573
606,76,Male,2,1000,East,9,2,No,5,2.737384828432627e-05,2.2332230718170174e-05
607,46,Male,5,3500,East,8,5,No,6,-8.816252661762651e-06,-5.3106930887900515e-06
608,63,Male,4,2000,West,9,3,No,2,-0.14303761533120474,-0.0013062940001674177
609,76,Male,2,1200,East,6,3,No,1,-5.839755817308583e-05,6.089982310804243e-08
610,72,Male,2,3300,West,8,1,No,3,5.187104995524668e-06,-0.0002822980615414701
611,65,Male,2,1650,West,7,3,No,3,8.02029130352922e-06,1.6448883777067514e-06
612,51,Male,3,1100,East,8,4,No,9,-5.2478759221828535e-05,-8.585917348753051e-05
613,71,Female,2,1400,East,8,3,No,9,-2.4848174543529427e-05,-5.835517819514219e-05
614,62,Female,3,688,East,6,4,No,1,-4.42962048416368e-05,-5.377473626722029e-05
615,72,Male,3,4200,West,8,3,No,6,3.942930813759878e-06,-3.848322949660466e-05
616,42,Male,2,200,West,7,2,No,9,4.878143785830898e-05,-3.729251564620745e-06
617,44,Male,2,1800,West,8,4,No,3,-4.420989571082964e-05,-4.587023990035997e-06
618,32,Female,5,4800,West,10,4,No,6,4.569368490579606e-06,-2.709961179347964e-06
619,62,Female,5,600,East,7,2,No,6,-5.4948826299203515e-05,-5.3211271712455543e-05
620,52,Female,2,710,East,5,2,No,1,-7.56825173871753e-05,-5.211456771218176e-05
621,67,Female,2,1000,West,10,5,Yes,2,7.154419706640117e-05,1.9995857104757046e-05
622,53,Female,4,900,West,6,4,No,2,0.0001540823839397236,0.0003493645215884439
623,76,Female,2,1800,East,7,2,No,6,5.636537440973418e-05,-9.906914247362347e-06
624,75,Male,3,950,East,5,3,No,3,-1.7623923644667725e-05,2.4712370557074263e-05
625,73,Male,2,1400,East,8,4,No,6,-1.6680796788001283e-05,-5.878718850078901e-05
626,71,Male,2,1625,West,5,3,No,3,-3.348057032594556e-05,4.295010543269012e-06
