,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
22179,auto,medium,midsize,2007,13.0,17.0,4.7,-18.448770348274163,-3.4032390021494274
22438,auto,medium,small,2008,17.0,24.0,3.8,-8.960851242427571,-12.502017580559997
6724,manual,few,small,1990,22.0,31.0,2.214,14.626897926285054,-0.5294224929864567
22922,manual,few,midsize,2008,19.0,25.0,2.5,-5.580247753288663,-15.83946717843917
12257,manual,medium,large,1997,16.0,22.0,2.9848,-3.2859821625764214,1.3861546378829912
10503,lock-up,medium,small,1995,15.0,23.0,3.9852,-1.087037365742262,2.0622824011692327
13455,auto,few,small,1999,26.0,31.0,1.3,11.975376664656132,-11.169497759647834
2245,manual,few,large,1986,21.0,25.0,2.4764,13.148150645180731,9.666805434611021
10123,lock-up,medium,large,1994,11.0,16.0,5.74,-14.31803063498679,10.531937777227519
22624,manual,few,small,2008,21.0,29.0,2.0,0.7368614302200378,-18.054370067602477
10154,lock-up,medium,large,1994,11.0,15.0,5.904,-13.934785751209343,11.57536227073772
10665,lock-up,medium,large,1995,13.0,17.0,5.74,-8.758085937539018,8.48239120971736
12869,auto,few,midsize,1998,21.0,29.0,2.4,6.782876920561504,-7.193514979689112
18307,auto,few,midsize,2004,18.0,27.0,1.8,-1.4107746330177544,-11.751585743194624
12901,auto,medium,large,1998,9.0,13.0,6.7,-17.62193597636422,8.539789771927326
10507,lock-up,medium,small,1995,17.0,26.0,3.1324,4.217445240904208,-0.1977509203603195
19749,auto,medium,large,2005,13.0,16.0,4.3,-18.591069905147005,-0.2319085512040817
9761,manual,few,small,1994,19.0,26.0,2.3452,5.654144951491177,0.5236689174847173
12713,manual,few,small,1998,19.0,29.0,2.0,4.718453745929392,-5.968632868851205
1244,manual,medium,small,1985,16.0,20.0,2.2304,4.266447133261483,13.233604714744299
21283,auto,medium,small,2007,15.0,23.0,4.8,-10.46611560878489,-10.631554720596137
15673,auto,few,midsize,2001,15.0,20.0,2.2,-8.00484731687122,-2.3421879942403647
8605,auto,medium,small,1992,18.0,23.0,2.6076,3.073514164813491,4.872957726318883
23230,manual,medium,midsize,2008,16.0,22.0,3.7,-11.941408798170299,-12.045294139313302
13077,manual,medium,large,1998,14.0,17.0,4.2,-10.225642743156632,5.128102838408152
16949,auto,medium,small,2003,15.0,20.0,4.4,-9.972420964547636,-4.883581557583968
16711,auto,medium,midsize,2002,11.0,14.0,4.6,-18.332249430254087,5.565806142475663
10062,manual,medium,large,1994,15.0,20.0,3.9196,-3.3914630286412724,5.138531147798395
11114,lock-up,few,small,1995,19.0,25.0,2.2632,4.83976124590682,-0.3796880418674794
5681,manual,medium,small,1989,15.0,23.0,5.002,1.8535255087595202,8.40119836276436
196,manual,medium,small,1985,16.0,21.0,2.8372,5.037342035050346,12.822196195061561
121,lock-up,medium,small,1985,17.0,23.0,3.7884,6.918790033184853,12.277585512908992
1885,manual,few,small,1986,23.0,32.0,2.214,19.628667976183493,1.105500609941689
10616,lock-up,few,small,1995,19.0,26.0,2.214,4.789264091782866,-0.23746143639772185
22208,auto,medium,midsize,2007,14.0,17.0,3.7,-18.05904464633558,-5.150077702815296
12499,lock-up,medium,large,1997,13.0,17.0,4.1984,-10.476369500933036,6.182516102897556
2686,manual,few,small,1986,37.0,45.0,1.0004,39.95028729923705,-4.5643826878580835
17419,auto,medium,large,2003,14.0,19.0,4.0,-10.44902451972775,-3.4455346074239652
10814,manual,medium,small,1995,11.0,17.0,5.3956,-14.118436624155594,8.862705332202946
8708,manual,many,small,1992,10.0,15.0,4.9528,-10.414706415540682,14.329513929551698
11905,lock-up,medium,large,1996,14.0,17.0,4.2968,-9.650636478111542,6.038491491377179
2126,manual,few,midsize,1986,22.0,32.0,2.214,18.644566067594912,1.0016076640101435
19790,auto,medium,midsize,2005,17.0,24.0,3.4,-6.688777642040497,-9.675241866036279
12425,manual,few,small,1997,21.0,27.0,2.214,5.749566794909577,-4.8617294727098415
3195,lock-up,medium,midsize,1987,18.0,26.0,2.8372,9.38820496677772,7.513622704375319
21438,auto,few,small,2007,21.0,27.0,2.5,-1.123617432700999,-16.069574111807356
8663,manual,few,small,1992,21.0,30.0,1.9024,12.042206251046286,-1.234275523527475
10273,manual,few,small,1994,25.0,32.0,1.5908,14.985509308782966,-4.774472185053622
6192,lock-up,few,midsize,1990,18.0,25.0,2.4764,6.298510039910417,5.641746741526908
