,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
865,auto,medium,midsize,2008,18.0,24.0,3.0,9.92384397050718,6.212504839454642
866,auto,medium,midsize,2006,14.0,19.0,5.3,11.201554410960064,-0.7052457276153166
867,manual,medium,small,1985,9.0,15.0,2.9356,-5.100488451275541,-15.620136659817607
868,auto,medium,large,1987,9.0,11.0,5.904,-1.5408551401360042,-17.68046448870733
869,auto,medium,large,2003,14.0,19.0,4.3,8.38480804740916,-1.8901225200828413
870,auto,medium,large,2003,18.0,25.0,3.0,5.083352972660989,4.664103665439228
871,manual,few,small,1991,22.0,29.0,1.5908,-8.263059684604995,4.367938416116953
872,lock-up,few,large,1989,18.0,26.0,2.4764,-7.821139351952265,-0.8624314588039451
873,manual,few,midsize,1987,24.0,35.0,1.8532,-14.529246530624762,7.966378166409182
874,auto,medium,midsize,1998,17.0,20.0,3.0,2.6697754741907795,-1.8529328586803206
875,auto,medium,large,2001,16.0,23.0,4.6,4.711699163451401,1.0362848100467275
876,lock-up,few,small,1994,23.0,32.0,1.476,-6.897068286651411,8.419542161226694
877,manual,medium,small,1996,17.0,22.0,3.0012,0.147381565538622,-1.1902458244450862
878,manual,few,small,1990,22.0,29.0,1.5908,-9.15461982338053,3.91344530775908
879,auto,few,midsize,2002,23.0,29.0,2.0,1.2399625769680083,9.896035012894867
880,auto,few,small,1988,21.0,26.0,1.7876,-9.693995151740427,0.3106837887531229
881,auto,medium,small,2005,13.0,20.0,5.4,10.332196223475453,-0.9464045150913751
882,auto,medium,small,2007,17.0,23.0,3.5,9.684586068798746,4.437009683947428
883,auto,medium,large,1989,15.0,16.0,4.2968,-3.3556346417586727,-10.11892183274457
884,manual,few,small,1989,15.0,25.0,2.1812,-6.882726967360155,-3.1414454385782906
885,auto,medium,small,2000,17.0,26.0,2.5,2.28785309537439,3.647207979640239
886,auto,many,midsize,2007,10.0,17.0,6.0,14.119331212531632,-3.8761564199962435
887,auto,medium,large,2008,13.0,20.0,4.6,12.903518555239739,0.6059069247749571
888,auto,few,small,2005,28.0,39.0,1.9,-0.9594254711199822,20.95506473039356
889,lock-up,few,small,1986,21.0,24.0,1.6072,-11.04153799836044,-2.036834936594506
890,auto,medium,large,2008,11.0,17.0,3.3,14.47360184580424,-2.4232596256887717
891,manual,few,small,1986,37.0,45.0,1.0004,-23.41903425395139,20.711703940837985
892,auto,medium,small,1999,16.0,22.0,5.7,3.3940692923999762,-0.8174490081662219
893,auto,medium,large,2007,11.0,15.0,5.3,14.273274924905627,-4.63766096048991
894,lock-up,few,midsize,1993,18.0,25.0,2.214,-3.910384212264461,0.25090276967314423
895,auto,medium,small,2005,15.0,21.0,3.6,9.138581888406256,1.0833365318909804
896,auto,medium,midsize,2003,14.0,17.0,3.5,9.058781334267655,-3.3025274693531377
897,auto,few,small,1985,19.0,24.0,1.722,-11.134934022648755,-3.555724081687262
898,manual,medium,large,1987,14.0,17.0,4.92,-5.133193746857941,-10.743523130090288
899,manual,medium,large,1992,13.0,17.0,3.9196,-0.4818332147369719,-8.772679502040205
900,manual,medium,large,1994,11.0,16.0,5.74,2.435363313307307,-9.931964529125574
901,manual,few,small,1985,23.0,30.0,1.968,-14.250516113521648,2.8209462028310632
902,auto,medium,large,2007,14.0,19.0,4.3,11.962570546772184,-0.07488963638580294
903,lock-up,medium,large,1995,15.0,20.0,4.2968,0.6386338319750862,-4.291960129841881
904,auto,medium,small,2002,14.0,20.0,4.4,7.1594852211052595,-1.6296198971088218
905,manual,few,small,1997,26.0,31.0,1.5908,-4.887065478657345,10.788021130283163
906,manual,medium,small,1985,16.0,21.0,2.8372,-9.094257803246808,-7.416231128809245
907,manual,medium,large,1993,14.0,17.0,3.1324,0.05112628752411675,-7.772735260415971
908,lock-up,few,small,1990,21.0,27.0,2.0008,-8.172791467992422,1.908975520184615
909,auto,few,midsize,1992,17.0,20.0,2.3124,-2.7859044500399563,-4.494302520917982
910,lock-up,few,small,1989,23.0,29.0,1.476,-10.395994727646755,3.9844296607592757
911,manual,medium,small,1991,16.0,22.0,2.9848,-4.0372679472503785,-3.934797618200467
912,manual,few,small,1987,23.0,27.0,1.968,-11.620157293591697,1.592773841428881
913,auto,medium,large,2003,16.0,25.0,3.5,5.758156287245361,3.6205160438909507
914,auto,medium,midsize,2003,13.0,17.0,5.3,9.465331478878742,-4.019336907585819
915,auto,medium,small,2004,15.0,20.0,5.0,8.753896840744682,-0.35642307037344206
916,manual,medium,small,1992,16.0,22.0,2.9684,-3.147631726223851,-3.4709522790140883
917,lock-up,medium,large,1990,15.0,19.0,3.9688,-3.4897322014569943,-7.270082792183263
918,lock-up,few,small,1989,19.0,26.0,2.0008,-8.131729247610245,-0.2817095538735172
919,manual,medium,midsize,2002,17.0,24.0,2.7,4.799753683853589,3.007453146519877
920,auto,few,midsize,2008,27.0,34.0,1.5,3.7336480710205167,18.304604512298553
921,lock-up,medium,midsize,1985,15.0,22.0,4.9528,-9.080792603464253,-7.670052104854208
922,auto,medium,midsize,2008,16.0,22.0,3.6,11.204182241405727,3.656206724180477
923,manual,few,small,1994,39.0,50.0,1.4924,-17.833619621619277,29.662691895587898
924,lock-up,few,midsize,1997,19.0,29.0,1.7876,-2.076575155565883,5.649354580626465
925,auto,medium,large,2008,11.0,15.0,5.4,15.177445756178663,-4.194198622500652
926,manual,few,small,1992,19.0,25.0,2.3944,-5.089891195570542,0.28701920984378926
927,manual,few,large,2005,18.0,24.0,2.8,7.209394092617551,4.859335096633945
928,manual,few,small,1995,19.0,29.0,2.2632,-3.8190330376173884,4.681924160065248
929,manual,medium,large,1998,15.0,19.0,4.0,3.633019035062649,-3.6372721708706335
930,auto,medium,large,2006,16.0,20.0,4.0,10.19734017229501,1.211176706008386
931,auto,medium,midsize,1998,17.0,27.0,3.8,0.19457998118823394,3.401406471079015
932,auto,medium,midsize,2006,13.0,17.0,5.7,12.20578169633393,-2.73913650222022
933,lock-up,few,midsize,1986,17.0,20.0,2.1484,-8.303545363939671,-7.186454863955236
934,auto,few,midsize,1999,19.0,24.0,2.0,1.4535125863335399,2.771527861697063
935,auto,few,small,1986,26.0,31.0,1.476,-14.72688037784262,5.670071182820222
936,manual,medium,midsize,2006,18.0,27.0,3.0,7.107271335141848,7.531190498456453
937,auto,medium,midsize,2001,15.0,20.0,3.5,5.912244075716138,-1.4631091007294916
938,manual,few,large,2005,21.0,26.0,2.3,5.563473333936489,8.125760660195855
939,manual,medium,small,1995,17.0,22.0,2.952,-0.7519080750560416,-1.622835794384684
940,auto,medium,midsize,1990,15.0,17.0,2.9684,-2.9220575867216443,-8.715440727198263
941,auto,medium,midsize,2005,16.0,21.0,2.7,8.82398399952859,1.7014126088878547
942,lock-up,medium,large,1996,13.0,17.0,5.002,3.1908129201333244,-7.117794062698808
943,lock-up,medium,small,1989,16.0,20.0,2.6732,-5.170412019314361,-6.337496615303513
944,lock-up,medium,midsize,1989,18.0,25.0,3.3456,-7.395640377732743,-1.6959300771655426
945,lock-up,few,midsize,1989,21.0,26.0,2.214,-8.75587217510003,0.7268628359205597
946,auto,medium,small,1987,15.0,20.0,2.8536,-6.657180277986105,-7.745437636402789
947,manual,few,small,1986,30.0,37.0,1.394,-17.864448464329655,12.028254758867826
948,auto,medium,large,2008,16.0,23.0,3.9,10.898490035821297,4.360594226779456
949,manual,few,midsize,1985,22.0,26.0,1.4924,-12.809729255889874,-0.5576090509110608
950,auto,medium,large,2003,9.0,11.0,6.0,12.701204754109604,-10.460597354623765
951,lock-up,medium,large,1989,14.0,20.0,5.002,-4.374118214071097,-7.711486991597192
952,auto,medium,large,2004,11.0,14.0,4.7,11.8935351137067,-6.663912717432976
953,manual,few,small,1989,25.0,33.0,1.2956,-12.294909342495142,7.928482030965094
954,auto,medium,midsize,1987,21.0,25.0,3.0012,-10.235991765859325,-1.023396743791223
955,auto,medium,midsize,2006,18.0,26.0,3.0,7.420932969353555,6.771695687565795
956,auto,medium,midsize,1998,11.0,15.0,4.7,6.200457295259259,-8.625207683294011
957,auto,few,small,1986,21.0,23.0,2.4928,-10.729553933291267,-2.9436863183795725
958,auto,few,midsize,2008,34.0,30.0,2.3,3.171782584171264,21.455571525024073
959,manual,medium,large,1996,15.0,17.0,3.3784,2.551730374332684,-6.016545303217485
960,manual,medium,midsize,1999,17.0,20.0,2.5,3.544522131065993,-1.3428956619896253
961,lock-up,medium,small,1991,16.0,22.0,2.5092,-4.095136898024082,-3.8685879465813864
962,auto,medium,large,2006,15.0,19.0,5.3,10.966627803484318,-0.2271303672401164
963,auto,medium,small,1998,15.0,23.0,5.7,2.4519802550510623,-1.064729162311453
964,lock-up,few,small,1996,22.0,30.0,2.0008,-4.113859334211017,7.277005479089691
965,auto,medium,midsize,2002,17.0,26.0,3.2,4.158111946324702,4.476805591775587
966,auto,few,small,2007,21.0,29.0,2.2,6.329814304745842,11.014146558444722
967,manual,few,small,1990,18.0,25.0,2.0008,-6.619294910032685,-1.0599235975642811
968,auto,few,midsize,2002,21.0,27.0,2.3,2.534747852386131,7.362069505139354
969,manual,few,small,1990,21.0,26.0,1.8368,-7.90244637720813,1.2429289851764964
970,auto,medium,midsize,2005,17.0,24.0,2.5,7.471120357026794,4.4083013300842735
971,manual,medium,large,1987,13.0,15.0,5.74,-4.092331062985098,-12.84704404135337
972,auto,medium,midsize,2003,13.0,17.0,5.3,9.465331478878738,-4.019336907585822
973,manual,few,small,1986,22.0,27.0,1.7876,-12.13413365527966,0.6064759206333855
974,manual,many,small,1988,6.0,10.0,5.166,0.5459263141055614,-19.450382763129873
975,auto,many,large,2008,11.0,17.0,5.5,14.569191889515793,-2.7657170659153865
976,manual,medium,large,1986,15.0,20.0,2.8372,-7.559536687285329,-8.207885230821294
977,auto,few,midsize,1999,18.0,27.0,2.4,0.7345246752239534,4.446386381487717
