,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
946,50,Female,3,2400,East,8,4,No,5,22.988855361938477,26.129108428955078
947,55,Male,2,2600,West,9,3,No,2,20.21742057800293,18.762676239013672
948,49,Female,3,1100,East,8,4,No,2,-0.5072686076164246,47.164974212646484
949,71,Male,3,2000,West,4,3,Yes,6,-24.101459503173828,33.63167190551758
950,54,Female,5,1200,West,9,4,Yes,6,-22.058897018432617,-37.55487060546875
951,45,Female,4,450,West,10,5,Yes,6,23.632619857788086,-12.145661354064941
952,84,Male,5,1800,East,10,4,No,3,-3.9145772457122803,-20.16341209411621
953,58,Female,3,1700,East,6,3,No,1,2.436452627182007,-27.88688850402832
954,47,Male,5,2375,East,7,3,No,2,22.60085678100586,26.899389266967773
955,66,Female,5,488,East,5,4,Yes,2,21.114978790283203,-9.431111335754395
956,82,Male,2,1063,East,8,3,No,6,-1.67671537399292,43.044105529785156
957,37,Male,5,3500,West,10,5,No,6,-33.65504837036133,2.7566325664520264
958,51,Male,2,1900,West,8,3,No,9,-9.064846992492676,-15.77196979522705
959,58,Female,2,1500,West,4,2,No,5,47.19309997558594,2.590102195739746
960,82,Male,5,1500,East,8,3,No,3,48.43691635131836,4.486599922180176
961,86,Male,2,1500,West,9,3,No,3,48.45002365112305,4.665449142456055
962,81,Female,3,1100,West,9,4,Yes,3,0.7813036441802979,45.162410736083984
963,58,Male,2,1650,West,8,3,No,3,4.6927080154418945,-30.260656356811523
964,64,Female,3,450,East,9,3,No,6,23.087419509887695,-12.829668045043945
965,34,Male,3,1600,East,9,5,No,5,8.393342971801758,-32.19893264770508
966,48,Male,5,4000,West,7,1,Yes,5,-39.47092819213867,-0.48991185426712036
967,49,Male,5,2000,West,7,4,No,2,-22.58009910583496,31.697072982788086
968,51,Female,4,813,West,9,4,No,6,3.642047166824341,6.080726623535156
969,82,Male,3,2625,West,8,3,No,6,19.961910247802734,18.47125244140625
970,66,Female,3,1000,East,9,5,No,6,-4.63661003112793,19.708559036254883
971,74,Male,2,1450,West,4,4,No,9,-3.6227381229400635,-48.25492477416992
972,72,Male,2,760,West,5,3,No,9,8.037464141845703,3.4231576919555664
973,24,Male,2,1800,West,7,4,Yes,1,-2.1520309448242188,-21.996187210083008
974,54,Female,2,1100,West,10,3,No,3,-0.18447348475456238,46.85865020751953
975,29,Female,5,650,East,8,5,No,1,13.514280319213867,-3.517378091812134
976,61,Female,2,420,West,8,4,No,2,25.046348571777344,-14.323416709899902
977,52,Female,4,1700,West,9,5,Yes,2,2.292194128036499,-27.657751083374023
978,55,Female,3,1800,West,7,3,No,1,-3.1962356567382812,-21.223039627075195
979,49,Male,2,2400,East,9,4,Yes,6,22.969587326049805,26.100303649902344
980,52,Female,3,1300,East,7,4,No,3,-13.451302528381348,-44.042510986328125
981,50,Female,5,2000,West,8,5,Yes,2,-22.69082260131836,31.753009796142578
982,20,Male,5,688,West,7,4,No,5,11.072478294372559,-2.1557698249816895
983,82,Female,2,1500,West,10,3,No,6,48.237525939941406,4.5990166664123535
984,75,Female,3,360,West,8,4,No,2,27.75035858154297,-16.990049362182617
985,66,Female,5,650,West,10,5,No,2,14.968118667602539,-2.6475508213043213
986,80,Male,2,1625,West,10,2,Yes,6,5.049262523651123,-31.69203758239746
987,48,Male,5,2200,East,7,4,Yes,1,20.306306838989258,33.49779510498047
988,28,Female,5,1990,East,8,4,Yes,1,-20.593910217285156,29.644624710083008
989,60,Male,5,620,East,7,3,No,2,16.198104858398438,-4.225548267364502
990,37,Female,2,983,West,7,5,No,6,-3.1621227264404297,20.364368438720703
991,49,Female,3,1400,West,9,4,No,6,-6.047544479370117,-47.83700942993164
992,63,Female,3,820,West,10,3,No,6,3.5759074687957764,7.059057235717773
993,52,Male,3,700,West,8,2,No,9,11.502320289611816,-0.15596966445446014
994,46,Female,2,450,West,10,5,No,9,23.628007888793945,-12.237201690673828
995,35,Male,3,1063,East,10,4,No,11,-3.2271461486816406,45.25932312011719
996,36,Male,5,2300,East,8,4,No,6,21.647279739379883,30.389423370361328
997,60,Female,3,450,West,9,4,Yes,2,23.17391586303711,-12.735004425048828
998,47,Male,4,4500,East,8,4,No,6,-42.04660415649414,-1.852000117301941
999,68,Female,5,1000,West,9,2,Yes,6,-4.7787861824035645,19.655851364135742
