,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
2462,lock-up,medium,large,1986,11.0,15.0,5.74,-0.14345680177211761,36.380393981933594
12105,manual,few,midsize,1997,23.0,31.0,2.0008,9.48741626739502,-23.819162368774414
23282,auto,few,midsize,2008,23.0,27.0,2.0,-9.832784652709961,-25.530101776123047
20778,manual,few,large,2006,17.0,21.0,2.7,-23.970294952392578,-8.758539199829102
8386,manual,few,large,1992,18.0,24.0,2.1812,13.01627254486084,3.452349901199341
12475,lock-up,medium,large,1997,11.0,16.0,5.412000000000001,-13.1118803024292,27.71893882751465
7529,lock-up,medium,large,1991,15.0,17.0,2.9684,-0.5415297746658325,28.056625366210938
8396,auto,few,large,1992,19.0,21.0,2.3616,11.652979850769043,7.522688388824463
8149,lock-up,few,midsize,1992,19.0,29.0,2.4764,17.684316635131836,-13.02816390991211
3881,lock-up,medium,large,1987,15.0,16.0,3.69,2.2112479209899902,31.50483512878418
2035,lock-up,medium,midsize,1986,14.0,20.0,5.002,22.34227752685547,20.4835205078125
9153,lock-up,few,large,1993,18.0,24.0,2.4764,11.155045509338379,2.6032357215881348
21731,manual,medium,midsize,2007,17.0,25.0,3.0,-22.052593231201172,-16.148584365844727
21178,auto,few,small,2007,19.0,27.0,2.0,-15.655380249023438,-21.84465217590332
8527,manual,few,small,1992,18.0,25.0,2.4928,12.681221961975098,1.524822473526001
5586,auto,few,large,1989,15.0,17.0,2.5584,0.8970069885253906,29.21434783935547
6579,manual,few,large,1990,18.0,22.0,2.46,14.52072525024414,8.199460983276367
18704,auto,medium,midsize,2004,14.0,17.0,4.6,-25.56848907470703,14.270943641662598
9562,auto,few,small,1993,28.0,35.0,1.0004,17.654409408569336,-25.1785888671875
8238,lock-up,few,small,1992,18.0,24.0,2.3944,12.705747604370117,3.530205726623535
9720,manual,few,small,1994,22.0,29.0,2.1648,13.297687530517578,-15.826361656188965
5915,auto,medium,large,1989,11.0,13.0,5.2152,-3.756091833114624,35.84634780883789
18077,auto,medium,small,2004,15.0,22.0,3.5,-23.257307052612305,-3.3660082817077637
20817,auto,medium,large,2006,17.0,23.0,3.5,-22.714513778686523,-11.640113830566406
11712,manual,medium,large,1996,15.0,20.0,4.0016,-6.796374797821045,10.361191749572754
5294,lock-up,medium,midsize,1989,16.0,21.0,3.1324,16.78109359741211,15.485515594482422
11644,lock-up,medium,large,1996,11.0,16.0,5.7564,-12.113006591796875,28.38751983642578
7027,manual,few,small,1991,22.0,29.0,2.0008,17.81937599182129,-15.581683158874512
21097,manual,few,midsize,2006,18.0,24.0,2.5,-19.62119483947754,-15.9956636428833
7592,manual,few,small,1991,21.0,31.0,2.4928,18.40867042541504,-17.536359786987305
18815,auto,medium,midsize,2004,14.0,17.0,4.8,-26.102710723876953,14.86025619506836
8143,manual,few,midsize,1992,21.0,29.0,2.1812,16.252914428710938,-14.784305572509766
13772,auto,medium,midsize,1999,15.0,24.0,2.8,-6.2268757820129395,-1.559767484664917
17425,auto,medium,large,2003,13.0,17.0,5.4,-25.52269172668457,16.79190444946289
16921,manual,few,small,2003,21.0,29.0,2.0,-2.3053081035614014,-23.93231201171875
9701,manual,few,small,1994,23.0,30.0,2.214,13.832725524902344,-17.64379119873047
23475,auto,medium,midsize,2008,12.0,18.0,5.6,-33.54017639160156,11.720073699951172
