,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
18928,auto,medium,midsize,2004,15.0,20.0,2.7,0.5340078436045836,0.18728005330260486
7609,lock-up,medium,small,1991,16.0,23.0,4.9528,-0.2865327128836193,0.1946906107579409
11047,lock-up,medium,large,1995,15.0,17.0,3.3784,-0.037161697884393455,0.4514150759097767
18492,auto,medium,large,2004,14.0,17.0,4.6,0.5190881193704773,0.3193091183726495
22258,auto,medium,midsize,2007,11.0,15.0,5.0,0.35205659682694573,0.2114772609954199
1471,manual,few,small,1985,21.0,27.0,1.6072,-0.4161068600809705,-0.222490964527796
12301,lock-up,medium,large,1997,15.0,19.0,4.0016,0.06183397978803737,0.34666564541342965
20747,auto,few,large,2006,15.0,20.0,2.8,0.5479865003732123,0.13765998167737306
6269,lock-up,medium,midsize,1990,18.0,26.0,3.3456,-0.3636343315848391,-0.08368325566670642
21120,auto,medium,midsize,2006,14.0,20.0,4.4,0.5827698389083006,0.22142514518660103
23315,auto,medium,midsize,2008,13.0,18.0,5.6,0.4223810926844761,0.2046276284982154
449,manual,few,midsize,1985,21.0,29.0,2.4764,-0.39041899409700176,-0.26336572497487587
11369,auto,medium,small,1996,24.0,32.0,3.0012,-0.15149184865280835,-0.43919986986265336
1611,manual,medium,small,1985,15.0,20.0,5.74,-0.3098974642591145,0.35593097219464426
2525,auto,medium,large,1986,10.0,12.0,5.904,-0.16192315898621704,0.4101933388228943
12860,auto,medium,midsize,1998,18.0,24.0,2.5,0.03858877668255416,-0.1472745757063702
18773,manual,medium,midsize,2004,17.0,20.0,2.5,0.4101458303045394,0.08998922959201208
11558,manual,medium,small,1996,11.0,17.0,3.608,0.005082583004202416,0.4597131509333464
21591,auto,many,midsize,2007,11.0,17.0,6.7,0.371343011647258,0.20769957001522515
23419,auto,medium,midsize,2008,17.0,22.0,3.0,0.41311694092254664,-0.09211293608390522
23014,manual,few,large,2008,17.0,22.0,2.7,0.4059278958354924,-0.10248275068573967
6495,manual,medium,large,1990,15.0,19.0,4.2968,-0.3274751612286596,0.5455394924872664
7825,manual,medium,large,1991,11.0,17.0,3.9196,-0.1762636202521908,0.5784538268644749
9135,auto,few,small,1993,15.0,23.0,3.0012,-0.21336047224410376,0.14457056302639165
12175,manual,few,small,1997,19.0,27.0,2.3452,-0.041050757035436994,-0.3008231400950762
15397,auto,many,large,2001,11.0,15.0,5.4,0.25834632556543646,0.3179355658910791
7232,lock-up,medium,midsize,1991,17.0,27.0,3.1324,-0.27916815386259347,-0.08979404785750733
4253,lock-up,medium,midsize,1988,18.0,25.0,2.8372,-0.47215169143392477,0.00968628928028107
78,manual,few,small,1985,18.0,26.0,2.214,-0.396075438405772,-0.06386858677170426
19413,auto,medium,midsize,2005,16.0,22.0,3.9,0.5412566782159159,-0.017311620020837144
11269,lock-up,medium,large,1995,11.0,15.0,5.904,-0.04152600050993532,0.4889937133876318
1283,lock-up,medium,small,1985,15.0,20.0,5.002,-0.3256485310794592,0.3668601075218068
15719,auto,medium,midsize,2001,13.0,15.0,5.3,0.27741372330785014,0.32510755744377573
207,manual,few,small,1985,17.0,22.0,1.968,-0.38414126490765704,0.1624824203852927
10934,lock-up,medium,large,1995,15.0,20.0,6.478,-0.06147321897694957,0.3387490650576179
983,auto,few,midsize,1985,25.0,29.0,1.4596,-0.32592816647839185,-0.30169573237781916
18612,auto,medium,large,2004,14.0,19.0,4.3,0.5888362983259305,0.3067846800428772
53,manual,medium,small,1985,16.0,21.0,2.8372,-0.3491647540196016,0.2440176412802626
20510,auto,medium,large,2006,17.0,25.0,3.5,0.44720829591232947,-0.30848984830280635
13680,manual,few,midsize,1999,18.0,27.0,2.3,0.06611184506042884,-0.2898933335345659
23010,auto,medium,large,2008,14.0,19.0,4.0,0.45402814649291934,0.1727071490110551
19384,auto,medium,midsize,2005,18.0,27.0,3.0,0.3873976119634003,-0.4233708259220549
12371,lock-up,few,small,1997,23.0,31.0,1.7712,-0.10741257077147769,-0.4295680745839202
2951,auto,few,small,1987,17.0,21.0,2.214,-0.40710811074642705,0.2597556093649057
1165,manual,medium,large,1985,13.0,13.0,4.9528,-0.18582035689357837,0.4050093000634834
17740,manual,few,midsize,2003,16.0,19.0,2.4,0.40609726720651385,0.17210749984240178
2282,manual,few,large,1986,17.0,21.0,2.5584,-0.3769195287962376,0.2334946977679751
1795,manual,medium,large,1985,11.0,17.0,5.2152,-0.22756038278120042,0.44485286284307196
16948,manual,medium,small,2003,14.0,21.0,4.4,0.46915321247642094,0.1767100227239095
2462,lock-up,medium,large,1986,11.0,15.0,5.74,-0.19900490160853504,0.4619513211296677
12105,manual,few,midsize,1997,23.0,31.0,2.0008,-0.10561012054019775,-0.42930530004389206
23282,auto,few,midsize,2008,23.0,27.0,2.0,0.2328914963416022,-0.31643681908992777
20778,manual,few,large,2006,17.0,21.0,2.7,0.4831684927402028,-0.018882657990725756
8386,manual,few,large,1992,18.0,24.0,2.1812,-0.2907520682201201,-0.005839216686411448
12475,lock-up,medium,large,1997,11.0,16.0,5.412000000000001,0.04233572787003743,0.4298832412028793
7529,lock-up,medium,large,1991,15.0,17.0,2.9684,-0.23658333454182315,0.5635218557054998
8396,auto,few,large,1992,19.0,21.0,2.3616,-0.21191474263461227,0.09358555473900518
8149,lock-up,few,midsize,1992,19.0,29.0,2.4764,-0.268513817105605,-0.2917659676097587
3881,lock-up,medium,large,1987,15.0,16.0,3.69,-0.26465337047540843,0.48598477395936307
2035,lock-up,medium,midsize,1986,14.0,20.0,5.002,-0.3474115552169988,0.422369227973751
9153,lock-up,few,large,1993,18.0,24.0,2.4764,-0.2532368743844172,-0.017208421969821138
21731,manual,medium,midsize,2007,17.0,25.0,3.0,0.4309868647119799,-0.29647993098286884
21178,auto,few,small,2007,19.0,27.0,2.0,0.34608609732613727,-0.36946113045641654
8527,manual,few,small,1992,18.0,25.0,2.4928,-0.293294996975119,-0.060422026729907256
5586,auto,few,large,1989,15.0,17.0,2.5584,-0.289076062389906,0.5236895999021532
6579,manual,few,large,1990,18.0,22.0,2.46,-0.3766958610757491,0.1549074944105731
18704,auto,medium,midsize,2004,14.0,17.0,4.6,0.5217317199762874,0.3202891293095676
9562,auto,few,small,1993,28.0,35.0,1.0004,-0.19103516410461358,-0.36375241148629106
8238,lock-up,few,small,1992,18.0,24.0,2.3944,-0.2893242991123209,-0.005886747280164835
9720,manual,few,small,1994,22.0,29.0,2.1648,-0.20292001354322792,-0.3828255627356088
5915,auto,medium,large,1989,11.0,13.0,5.2152,-0.17479204670830206,0.5103852797987013
18077,auto,medium,small,2004,15.0,22.0,3.5,0.5173118936264791,0.06073173066703916
20817,auto,medium,large,2006,17.0,23.0,3.5,0.47493373188581844,-0.18065073783308863
11712,manual,medium,large,1996,15.0,20.0,4.0016,0.0009184709007390557,0.30593712892400277
5294,lock-up,medium,midsize,1989,16.0,21.0,3.1324,-0.40048128135765715,0.338605958945336
