,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
239,88,Male,5,3000,West,3,4,No,5,0.41027550636320265,-0.3308695082717587
240,62,Female,2,887,West,10,3,No,3,-0.3082672154873208,-0.03917866934337529
241,51,Female,5,900,West,10,2,No,9,-0.3279375814249162,-0.011844567253777772
242,46,Male,3,6250,East,8,4,Yes,6,0.2821816738224681,-0.25640188884117937
243,75,Male,5,3000,West,5,2,Yes,9,0.42462760754482914,-0.3416282019758678
244,22,Male,5,1500,West,10,5,Yes,2,0.03802942305123665,0.4332850524479139
245,57,Female,2,674,West,5,1,No,6,-0.38866430798466695,-0.2748927930622123
246,34,Female,4,1600,West,8,4,No,6,0.08333476522971839,0.4213534151049338
247,55,Female,3,813,West,8,3,No,6,-0.33933978309454077,-0.12337102808337515
248,58,Male,2,1100,West,4,3,No,2,-0.2584010796760192,0.3298751224777475
249,22,Male,5,300,West,8,4,No,6,-0.39719307556522737,-0.3947937580072255
250,54,Female,3,1400,West,6,2,No,5,-0.010380304769157361,0.4931539716864122
251,83,Male,2,1050,West,10,3,No,6,-0.24790181126301666,0.20662563935563102
252,65,Male,2,1800,West,8,4,No,3,0.16782173756011778,0.2538238493669306
253,59,Male,2,3500,West,10,5,No,3,0.4787038761748041,-0.41991960246813054
254,68,Female,3,350,West,10,5,No,2,-0.41883335693613893,-0.414595994036573
255,24,Male,5,700,West,8,3,No,4,-0.40859563596586,-0.26976098296121165
256,30,Male,3,1550,West,8,3,Yes,4,0.06417917592682279,0.4734313727702506
257,76,Male,5,2400,West,8,3,No,6,0.33520851789992695,-0.14323343442446895
258,49,Male,5,2000,West,5,3,No,3,0.3073539487265188,0.08633552960904305
259,32,Female,4,1900,West,9,3,Yes,1,0.2628871842876484,0.17062030796938943
260,31,Male,3,1600,West,10,5,Yes,3,0.08063943493049168,0.40918768669613415
261,57,Female,3,1800,West,8,3,No,11,0.16967539205794477,0.2445450271726428
262,71,Male,5,2400,West,10,4,No,3,0.3352126214823833,-0.14324574954992594
263,60,Male,5,5800,West,10,5,No,6,0.3102790488328369,-0.28158879738815196
264,52,Male,5,2400,East,6,4,No,1,0.3473868678887746,-0.14668664955609362
265,45,Male,3,1500,East,3,3,No,5,0.04656637635282137,0.520607134471399
266,23,Male,3,1100,West,9,5,No,9,-0.1973276700819068,0.24959310393616338
267,23,Male,5,500,West,6,4,No,2,-0.49400866486597445,-0.4680431802407323
268,75,Female,2,1050,West,3,1,No,6,-0.24790181126301628,0.20662563935563066
269,38,Female,5,900,West,7,3,Yes,2,-0.3157310248847346,-0.018277914933760735
270,73,Female,3,300,West,10,4,No,3,-0.39498395118309,-0.392628930079568
271,34,Female,5,630,East,3,1,No,2,-0.3966308756077689,-0.3056310105970759
272,32,Male,5,1700,West,8,3,No,3,0.12381253639353476,0.332293934895081
273,47,Male,2,1235,West,7,4,No,6,-0.13813683151333234,0.3656794177048799
274,26,Male,3,1200,East,7,2,No,4,-0.15551954428613662,0.32980528756379357
275,67,Male,5,2800,West,8,3,No,3,0.4066674132329972,-0.2890424147818659
276,48,Male,3,3000,West,8,4,Yes,6,0.4583731453010221,-0.37547652067077064
277,44,Female,3,1200,West,9,5,Yes,5,-0.1706725861356561,0.37059433702379224
278,56,Male,2,1875,West,7,4,No,3,0.25128099486797845,0.17461559330431142
279,44,Female,2,1100,West,3,2,No,9,-0.22663074214963477,0.29059395111111685
280,75,Female,2,1200,West,6,3,No,6,-0.16338873002421844,0.3601239194019162
281,74,Male,2,1050,West,8,4,No,3,-0.24790324701146946,0.20662162460229036
282,47,Male,3,1100,East,7,4,No,4,-0.23101949671095326,0.2988602571531969
283,21,Male,4,450,West,9,5,No,5,-0.445808034985673,-0.43562499695045914
284,49,Female,3,960,East,9,4,No,3,-0.2818567457608119,0.08739279639835108
285,36,Female,5,2100,West,8,4,No,6,0.32091031375911533,0.02292109009146775
286,67,Male,5,2000,West,8,4,Yes,2,0.3057648103911819,0.09359563929457299
287,30,Female,5,380,West,10,4,No,6,-0.42716052592359594,-0.4211776272804924
288,56,Male,3,970,East,8,2,No,5,-0.2811640537102828,0.08927104998632766
289,33,Male,2,2100,West,2,3,No,9,0.3167324868791048,0.025820889945235626
290,37,Male,2,1050,East,7,4,No,11,-0.2489479738444523,0.20418044619152775
291,21,Male,5,300,West,9,4,Yes,2,-0.39719307556522776,-0.3947937580072255
292,41,Female,3,1850,West,9,4,No,2,0.17268915840800694,0.17406491614701952
293,38,Female,3,2170,East,9,3,No,1,0.3390750398788148,-0.0488389048319001
294,48,Female,5,1200,West,8,5,No,3,-0.1759185891832986,0.3775348641842068
295,73,Female,3,955,East,5,1,No,6,-0.28419132817552784,0.0852417367590679
296,81,Female,3,1063,East,10,2,No,2,-0.2448647466950229,0.20610580760296388
297,81,Male,2,1300,West,10,4,Yes,9,-0.08722147868045331,0.33644707430601206
298,29,Female,5,800,West,10,5,No,2,-0.373460970234137,-0.16825826897337715
299,70,Female,5,1500,East,7,3,No,1,0.03968320353013172,0.47320759851400734
300,82,Male,3,1800,East,8,4,No,1,0.1685026168201855,0.24069993519666988
301,21,Female,4,450,West,3,4,No,1,-0.44580803498567284,-0.435624996950459
302,65,Male,2,3000,West,9,4,No,6,0.44416224120662456,-0.35937441655708113
303,77,Female,2,2600,West,8,3,Yes,5,0.3992080186190809,-0.24040666716549294
304,46,Male,3,2625,East,8,4,No,2,0.41785484221433333,-0.26045867781865883
305,51,Female,3,1875,West,9,4,No,3,0.2513386467293969,0.1744878919851065
306,57,Female,5,2000,East,10,5,No,6,0.31029122160478156,0.08308327636048046
307,20,Male,3,270,West,8,3,No,5,-0.3397126162631849,-0.3383271187353096
308,26,Female,5,2000,West,5,4,Yes,2,0.2780562443305699,0.07744448492471295
309,25,Female,3,670,West,9,4,No,3,-0.3874666779633663,-0.27654679608131916
310,57,Female,3,1600,East,8,5,No,9,0.0825302284489319,0.45809507600964566
311,64,Male,2,2200,West,9,4,No,2,0.3420921273638888,-0.0670401928394546
312,42,Female,2,1000,West,10,4,No,3,-0.2580711060222735,0.15943630939970685
313,40,Male,5,5200,East,5,3,No,6,0.3209579503869242,-0.2907969861277285
314,48,Male,5,2500,West,8,4,No,9,0.3807240284322772,-0.19925628878042426
315,31,Male,3,2400,West,8,2,No,5,0.3245213793196705,-0.13939633666359452
316,56,Male,2,2200,West,8,3,No,3,0.34816091310715513,-0.06639968080378553
317,31,Female,3,1100,West,8,3,Yes,3,-0.21439331062127145,0.27737818536614395
318,53,Female,3,500,East,5,1,No,9,-0.48578015684274134,-0.4618414349545963
319,39,Female,3,700,West,7,4,No,3,-0.4262371319453695,-0.2745980893723583
320,56,Female,5,2500,West,8,4,No,6,0.39882923643150886,-0.212031697442021
321,51,Female,2,1200,West,5,2,No,9,-0.16556649070595247,0.362994216688339
322,56,Male,5,4250,East,9,4,Yes,9,0.35699166496890955,-0.3210913397744691
323,59,Male,2,620,East,6,1,No,5,-0.39741296862456293,-0.3086859986573605
324,36,Female,5,1370,East,7,1,No,2,-0.032075170439658414,0.3779529823700571
325,39,Male,3,1750,West,6,4,Yes,9,0.1432708074158538,0.26323802764985443
326,52,Male,5,5000,West,8,4,Yes,1,0.3469000908706304,-0.3140694067521266
327,64,Male,3,1350,East,8,3,No,3,-0.047186212958731384,0.374824609854958
328,90,Female,3,1100,East,10,4,No,3,-0.20030571881257334,0.24636982306489033
329,35,Female,5,670,West,9,4,No,6,-0.3915536397916152,-0.2795920090124082
330,61,Male,5,1200,West,9,4,No,6,-0.1646470575521895,0.369172532918819
331,48,Male,5,1188,East,3,5,No,6,-0.1870472766286877,0.33659390765215647
332,68,Male,3,1850,West,8,4,No,1,0.17412818383430523,0.1713322983315394
333,42,Female,4,990,West,8,3,Yes,3,-0.2659942468192349,0.11326745233747225
334,58,Male,5,3400,West,8,4,No,1,0.5056786455145483,-0.4409585445742823
335,36,Female,5,1800,West,9,4,Yes,2,0.165556846383449,0.24584155935863447
336,71,Male,5,1200,East,7,4,Yes,1,-0.16760703364675103,0.3735386613370952
337,71,Female,2,600,West,6,3,No,3,-0.45312963494933434,-0.3712835057777767
338,22,Female,5,400,West,8,5,No,2,-0.4292291997441493,-0.42276938515468865
339,48,Male,3,1200,East,8,3,No,9,-0.16872913578710194,0.3700002615545159
340,50,Female,5,2300,West,10,5,Yes,2,0.3454385750285499,-0.12023211058641747
341,71,Male,3,2300,West,7,3,No,2,0.3390862308120466,-0.12008051836962017
342,52,Male,3,4400,West,8,3,No,6,0.35489583907906014,-0.31939819398657454
343,43,Female,3,2400,East,8,4,No,6,0.3431351655030549,-0.14836664433561253
344,50,Male,2,1100,East,10,4,No,2,-0.23637164929032195,0.3018618879112356
345,85,Female,2,1063,East,10,3,No,6,-0.24486474669502362,0.20610580760296393
346,30,Male,3,2500,West,10,5,No,6,0.3752685105261299,-0.19160493504333503
347,68,Male,3,650,East,8,2,Yes,3,-0.3950123507414999,-0.29294323558441787
348,54,Female,2,1600,West,5,3,No,6,0.08559457519401456,0.4777685091231921
349,55,Male,2,720,West,5,2,No,1,-0.43269814453170174,-0.2624672752385621
350,48,Male,3,4000,West,7,5,No,6,0.4150696800928642,-0.37235489441130276
351,43,Male,2,2050,West,8,2,No,6,0.2874381629581239,0.0457904170108426
352,43,Female,5,4000,West,8,5,No,6,0.41504399459581864,-0.37226022791781294
353,48,Male,2,2650,West,8,4,Yes,9,0.4271392944597149,-0.27604516591076705
354,36,Male,5,2000,East,7,4,No,9,0.29873934027925136,0.08466945152514989
355,50,Female,3,800,East,8,4,No,2,-0.39857552322233586,-0.17169380697494768
356,69,Male,3,922,West,10,3,No,3,-0.29991966270529097,0.015470895822314222
357,21,Female,4,640,West,7,4,No,3,-0.39749225518894854,-0.3025515364578771
358,35,Female,5,1100,West,9,5,No,3,-0.22225199069905727,0.2857877250572877
359,48,Male,2,1900,West,7,3,No,1,0.26438682562129046,0.17085101407515904
360,50,Male,5,3400,East,8,3,No,6,0.5056797211155227,-0.4409626029201464
361,27,Female,5,1600,West,9,5,No,6,0.07949070717360644,0.3950217029521069
362,42,Female,5,1700,West,10,4,No,6,0.1254162202059284,0.34109268622589445
363,72,Male,5,6500,West,8,5,Yes,5,0.2822183813814766,-0.2565397698431843
364,20,Male,3,700,West,8,3,No,3,-0.38478875717083627,-0.2602302911118846
365,30,Male,3,2600,West,8,3,No,6,0.3992100168800465,-0.24041061332670605
366,26,Female,5,120,West,7,5,No,2,-0.2952702993961288,-0.29395732138046365
367,39,Male,5,2000,West,10,5,No,6,0.30306188223511404,0.08542945561239852
368,51,Male,3,1500,West,10,4,No,6,0.047455371451777924,0.5334240329412339
369,48,Male,2,3100,West,8,4,No,9,0.49061996554541076,-0.4156685075646898
370,73,Male,2,1200,West,7,4,Yes,9,-0.1673214583887452,0.3713304265624345
371,76,Female,3,2500,West,9,4,No,6,0.3575037568591218,-0.1856806534745858
372,61,Female,4,1500,West,8,4,No,2,0.04207131568859792,0.5047037158438766
373,75,Male,2,1500,East,8,3,No,3,0.038398277049824264,0.4580095051816252
374,42,Female,3,1500,East,10,3,No,6,0.042931014415789295,0.4985611246576794
375,38,Female,3,2250,West,9,4,No,6,0.3553856460529141,-0.09263844265312678
376,59,Female,4,1200,West,9,4,No,3,-0.16729886816112288,0.3713215825454517
377,53,Male,3,3300,West,9,5,No,6,0.5312423970514636,-0.45684845331970914
378,31,Male,4,2950,West,8,5,No,5,0.4189417921378306,-0.3270151662457191
379,40,Male,3,1400,East,4,3,No,9,-0.012994050521141613,0.4513670950328873
380,68,Male,3,1600,West,6,3,No,6,0.08305492057155288,0.4363096293045881
381,73,Female,5,350,West,8,3,No,3,-0.41663517521243876,-0.41247612862538613
382,58,Male,5,4000,East,10,5,Yes,3,0.414993587539606,-0.3720721871865523
383,53,Female,3,1700,West,9,3,No,2,0.1310944583986334,0.3662555206190186
384,31,Female,5,830,East,1,1,No,2,-0.3334593092205354,-0.09893360857017643
385,26,Male,5,600,East,8,4,Yes,1,-0.4689049633574527,-0.38768877544688457
386,61,Female,3,2300,West,5,4,No,3,0.34856685819218786,-0.1200891156421419
387,30,Male,5,2500,West,9,5,No,6,0.37353858748017066,-0.1911553705517458
388,66,Male,5,2100,East,5,2,No,1,0.32091011146345894,0.02291577823010158
389,49,Male,3,3900,West,8,4,No,5,0.42963472298609434,-0.38381402523484354
390,36,Male,3,2125,East,8,4,No,9,0.36810962368166883,-0.0003326742437860196
391,42,Male,4,3600,West,10,4,No,3,0.4410722982009045,-0.3897629440372345
392,64,Female,5,3000,West,8,4,No,3,0.4470338437119576,-0.36386679473789146
393,59,Male,4,3100,West,9,4,No,2,0.4904176452895158,-0.4149366471698893
394,56,Female,5,3000,West,8,5,No,3,0.469291930619133,-0.38556683611043885
395,50,Female,3,1500,West,9,4,No,6,0.047455371451778375,0.5334240329412339
396,29,Female,5,1400,West,9,5,Yes,2,-0.010459085259890137,0.3913595475627739
397,49,Female,3,1000,West,8,5,No,6,-0.2662054129976392,0.15056932576907087
398,69,Male,3,1200,East,8,4,No,9,-0.1672850397875324,0.371366781827327
399,53,Female,4,2000,West,7,4,No,9,0.3095528415192936,0.08484293924671073
400,88,Female,2,1100,East,10,3,Yes,3,-0.2025281248863642,0.248731562874538
401,50,Female,3,813,East,8,4,No,6,-0.3408628167689796,-0.1231244369802931
402,42,Female,3,1063,West,8,3,No,2,-0.2479084093768693,0.20660703163300664
403,33,Male,5,1300,East,8,4,No,2,-0.09092631907264387,0.3550005914378214
404,59,Male,5,4100,East,9,3,No,6,0.4064503125836864,-0.36470465697749305
405,35,Female,3,250,West,8,4,No,2,-0.3374941042677754,-0.33612355851516185
406,79,Male,5,2375,West,9,3,No,3,0.3304417496022007,-0.13276353529198284
407,62,Male,2,2700,West,8,4,No,3,0.3984916031803118,-0.2772558322844228
408,68,Female,2,607,West,7,4,No,6,-0.4390220928177914,-0.35493337065095626
409,51,Female,4,2000,West,9,4,Yes,2,0.3135480085938067,0.08638130063330214
410,74,Male,3,1000,East,8,4,No,3,-0.2645790020593986,0.1467088427548064
411,50,Female,3,1313,West,5,3,No,3,-0.07151463612150599,0.36555768844876313
412,69,Female,2,1800,West,9,4,Yes,3,0.16823489049723833,0.2501226984021797
413,58,Female,3,1800,West,7,4,No,3,0.17085600884947733,0.24847982844768832
414,19,Male,2,592,West,5,3,No,11,-0.48316142784274485,-0.41123422411994914
415,87,Female,2,1100,West,8,3,No,3,-0.20461088651541828,0.2513703745912163
416,58,Male,2,4000,West,8,4,No,3,0.4149939322009376,-0.37207346634160926
417,23,Female,5,550,East,7,4,Yes,2,-0.5128101944568102,-0.469705770544987
418,79,Female,2,920,East,6,4,No,3,-0.29991966270529113,0.015470895822314222
419,44,Male,3,4500,West,8,4,No,4,0.3550169636915757,-0.319850139248634
420,75,Female,5,300,West,10,5,No,6,-0.3949839511830903,-0.3926289300795675
421,65,Male,2,1188,West,8,4,Yes,3,-0.18591167669159359,0.3353155646952612
422,43,Male,5,3500,East,8,4,No,9,0.4639254620497515,-0.4076597959468618
423,35,Female,3,665,East,8,2,No,9,-0.38772407452248175,-0.277548132861857
424,84,Female,2,2000,East,9,3,No,1,0.28153001782877723,0.08397097558539135
425,70,Male,3,2625,West,10,3,No,5,0.41566948180636654,-0.25843420984147725
426,68,Male,3,950,East,7,2,Yes,1,-0.27050109224526175,0.069529802805341
427,73,Male,4,3000,West,10,5,Yes,5,0.43138404058282503,-0.348420434674896
428,59,Female,2,3000,West,5,3,No,9,0.4497009292155245,-0.3676238139898297
429,61,Male,3,980,East,6,4,No,3,-0.2789793683469225,0.10390240643535832
430,56,Female,3,1700,East,5,4,No,1,0.13109445839863354,0.3662555206190193
431,60,Male,3,2000,East,8,3,No,9,0.30312384661946246,0.08540947051242954
432,53,Male,3,350,West,4,2,No,3,-0.42761964869895464,-0.42304907197147396
433,67,Male,3,1500,West,8,4,Yes,6,0.04184987234195419,0.4794584822496985
434,73,Male,3,3090,West,9,5,No,6,0.48606055176627216,-0.41093202371012616
435,20,Female,2,435,West,5,1,Yes,2,-0.44392952166434174,-0.4348064568284142
436,59,Male,3,2000,East,8,3,No,6,0.30917526019282027,0.08572558811495525
437,86,Male,5,1438,West,8,4,Yes,1,0.01365082353112754,0.44097183371851584
438,57,Male,2,2250,West,9,4,No,2,0.354517970040961,-0.09008829397245319
439,54,Male,3,2000,East,8,4,No,2,0.3128088228157982,0.08810371232285555
440,76,Female,2,688,West,9,3,No,6,-0.3907468488445723,-0.270406915764206
441,51,Female,3,5000,East,9,5,No,5,0.34689870309993354,-0.3140643694321635
442,53,Male,4,1875,West,9,3,No,3,0.25130045205682294,0.1745727456355581
443,65,Male,2,1800,West,9,4,No,2,0.16782173756011753,0.2538238493669302
444,85,Male,2,1000,West,10,1,No,6,-0.24654072086412565,0.1353913015294088
445,55,Male,5,3500,West,8,4,No,6,0.49137790641067236,-0.4304530214328483
446,65,Male,5,650,East,7,3,No,2,-0.39820444544785616,-0.292557099766051
447,30,Male,4,1600,West,8,3,Yes,1,0.0820951009902684,0.40737308881430323
448,65,Male,3,1350,East,8,4,No,9,-0.049188532217723624,0.37379823566329784
449,76,Male,2,1200,West,6,3,No,9,-0.15739797302857034,0.34063549051227
450,59,Male,5,3000,East,7,3,No,2,0.45423330183342336,-0.37226485667501313
451,82,Female,2,1063,West,10,4,No,3,-0.244864746695023,0.20610580760296413
452,40,Female,3,700,East,6,3,No,9,-0.4298307411034382,-0.2758270326886081
453,70,Female,3,1313,West,10,5,Yes,6,-0.07149382637847823,0.36559356898667833
454,69,Male,3,1000,East,9,3,No,9,-0.2683460387684466,0.14518543374775023
455,57,Male,3,3800,East,8,4,No,3,0.43162592432580965,-0.38511801035975074
456,23,Male,3,1500,West,9,4,No,3,0.03759168920318248,0.4333872816456855
457,18,Male,5,550,West,7,2,Yes,2,-0.5126044435140696,-0.4688808365530151
458,42,Female,4,100,West,9,2,No,1,-0.2796904492146304,-0.27832425961047697
459,22,Male,5,650,West,8,5,No,6,-0.38481549768363743,-0.28543214297322994
460,77,Male,2,1600,West,8,4,No,5,0.07614511582394402,0.40354365543279963
461,48,Female,5,2850,West,9,5,No,6,0.4087455040185316,-0.2963811700975828
462,66,Female,3,1400,West,8,4,No,5,-0.01283797798821294,0.4492270622476754
463,78,Male,4,1300,West,8,4,No,5,-0.09045227055975273,0.350700480775072
464,48,Female,5,2400,West,8,3,No,3,0.34435209788116466,-0.14717932164718445
465,68,Female,2,1100,East,0,3,No,3,-0.23215235605670734,0.2893969644819583
466,36,Female,5,600,West,7,4,Yes,6,-0.4781049200356823,-0.39776755852999085
467,78,Male,3,1200,East,7,2,No,1,-0.15591266419713087,0.33711659094835583
468,50,Male,2,2200,West,7,3,Yes,2,0.3446987688003952,-0.06531140975484118
469,64,Male,3,1800,East,8,4,No,1,0.1688276244521672,0.25206268933396436
470,65,Male,3,804,East,8,4,No,3,-0.3625614735505653,-0.14208342455242806
471,53,Female,3,1200,East,9,3,No,6,-0.1698607767495285,0.3685000437796515
472,57,Male,3,2000,East,8,3,Yes,6,0.312770542569566,0.0881770689566004
473,67,Female,2,900,West,5,3,No,6,-0.3227705961686469,-0.015367845535374085
474,21,Female,3,735,West,9,5,Yes,9,-0.43598237595267303,-0.2567534055048187
475,78,Female,3,1000,East,5,3,No,3,-0.2552794712936499,0.1417891186508897
476,77,Male,3,1100,East,8,3,Yes,3,-0.2246607007454659,0.2769160748950909
477,50,Female,3,1100,West,8,4,No,3,-0.24058974560671179,0.30706348634307573
478,73,Female,3,1300,West,8,3,No,6,-0.09385172556954768,0.36018510178919394
479,46,Female,3,1188,West,7,3,No,2,-0.18584499982749456,0.33547921736957964
480,19,Female,4,350,West,10,5,No,6,-0.41222986482536667,-0.40819965371736094
481,45,Female,3,900,West,10,5,Yes,6,-0.31657853267089087,-0.01600338993982992
